market,stock_no,stock_name,date,roc_date,volume_shares,turnover_twd,open,high,low,close,change,transactions
twse,3708,上緯投控,2025-06-02,114/06/02,5656469,496399038,82.80,90.00,81.10,89.10,+7.20,9692
twse,3708,上緯投控,2025-06-03,114/06/03,5673519,495052402,88.10,90.40,83.50,84.60,-4.50,6050
twse,3708,上緯投控,2025-06-04,114/06/04,1700310,144057741,85.30,86.00,83.90,84.50,-0.10,1513
twse,3708,上緯投控,2025-06-05,114/06/05,1189924,100190718,84.50,86.00,82.80,83.10,-1.40,1088
twse,3708,上緯投控,2025-06-06,114/06/06,906834,75205241,83.00,84.50,81.60,84.30,+1.20,771
twse,3708,上緯投控,2025-06-09,114/06/09,793710,65232472,84.90,84.90,81.30,81.40,-2.90,942
twse,3708,上緯投控,2025-06-10,114/06/10,1261612,102403281,81.40,82.80,79.90,80.30,-1.10,1080
twse,3708,上緯投控,2025-06-11,114/06/11,1260857,100489223,81.00,81.00,78.20,79.00,-1.30,1221
twse,3708,上緯投控,2025-06-12,114/06/12,268963,21507095,79.10,80.40,79.10,80.20,+1.20,303
twse,3708,上緯投控,2025-06-13,114/06/13,951091,74341555,80.00,80.10,77.00,77.20,-3.00,948
twse,3708,上緯投控,2025-06-16,114/06/16,927957,69821822,76.80,76.80,73.80,76.10,-1.10,814
twse,3708,上緯投控,2025-06-17,114/06/17,402192,30584492,77.70,77.70,75.30,75.70,-0.40,447
twse,3708,上緯投控,2025-06-18,114/06/18,268593,20362891,75.00,76.80,75.00,75.40,-0.30,385
twse,3708,上緯投控,2025-06-19,114/06/19,1032606,75738562,75.50,75.50,72.10,73.50,-1.90,991
twse,3708,上緯投控,2025-06-20,114/06/20,997014,71569320,73.50,73.50,70.50,71.10,-2.40,816
twse,3708,上緯投控,2025-06-23,114/06/23,363680,25381624,71.60,71.60,68.80,70.20,-0.90,453
twse,3708,上緯投控,2025-06-24,114/06/24,271768,19416385,71.40,71.90,70.90,71.30,+1.10,307
twse,3708,上緯投控,2025-06-25,114/06/25,288055,20569807,71.50,72.10,70.90,71.10,-0.20,450
twse,3708,上緯投控,2025-06-26,114/06/26,376496,27075435,71.60,72.60,71.20,71.40,+0.30,424
twse,3708,上緯投控,2025-06-27,114/06/27,216047,15511389,72.10,72.40,71.40,71.90,+0.50,280
twse,3708,上緯投控,2025-06-30,114/06/30,370566,26245175,72.80,72.80,70.10,70.10,-1.80,450
twse,3708,上緯投控,2025-07-01,114/07/01,363095,25676874,70.10,71.30,70.10,70.60,+0.50,333
twse,3708,上緯投控,2025-07-02,114/07/02,880273,63953433,71.40,73.80,71.40,72.70,+2.10,760
twse,3708,上緯投控,2025-07-03,114/07/03,622615,44581618,70.70,73.30,70.50,71.80,X0.00,551
twse,3708,上緯投控,2025-07-04,114/07/04,355097,25032320,72.70,72.70,69.80,70.50,-1.30,398
twse,3708,上緯投控,2025-07-07,114/07/07,294167,20654055,70.60,71.60,69.50,70.00,-0.50,390
twse,3708,上緯投控,2025-07-08,114/07/08,561380,39508905,70.90,71.70,68.30,71.30,+1.30,532
twse,3708,上緯投控,2025-07-09,114/07/09,901000,70638365,78.40,78.40,78.40,78.40,+7.10,664
twse,3708,上緯投控,2025-07-10,114/07/10,9585800,807212174,86.20,86.20,79.60,86.20,+7.80,10447
twse,3708,上緯投控,2025-07-11,114/07/11,15505178,1396291724,86.70,94.00,86.50,90.30,+4.10,12384
twse,3708,上緯投控,2025-07-14,114/07/14,9603799,919122911,89.50,99.30,89.40,99.30,+9.00,6758
twse,3708,上緯投控,2025-07-15,114/07/15,26004817,2605766537,101.00,104.00,95.60,99.80,+0.50,16600
twse,3708,上緯投控,2025-07-16,114/07/16,7953819,771782745,98.00,99.20,94.90,96.90,-2.90,6451
twse,3708,上緯投控,2025-07-17,114/07/17,2024147,200003343,98.20,99.80,96.90,99.50,+2.60,2390
twse,3708,上緯投控,2025-07-18,114/07/18,1238269,123736666,102.00,102.00,98.00,99.00,-0.50,1593
