market,stock_no,stock_name,date,roc_date,volume_shares,turnover_twd,open,high,low,close,change,transactions
twse,1517,利奇,2025-06-02,114/06/02,109302,1222955,11.30,11.30,11.10,11.10,-0.25,148
twse,1517,利奇,2025-06-03,114/06/03,81816,907903,11.15,11.15,11.05,11.05,-0.05,151
twse,1517,利奇,2025-06-04,114/06/04,90095,1009591,11.25,11.25,11.10,11.10,+0.05,122
twse,1517,利奇,2025-06-05,114/06/05,62623,696147,11.15,11.15,11.05,11.05,-0.05,185
twse,1517,利奇,2025-06-06,114/06/06,49185,546874,11.05,11.15,11.05,11.05,0.00,110
twse,1517,利奇,2025-06-09,114/06/09,47133,524804,11.30,11.30,11.05,11.05,0.00,104
twse,1517,利奇,2025-06-10,114/06/10,150685,1674526,11.05,11.25,11.00,11.10,+0.05,125
twse,1517,利奇,2025-06-11,114/06/11,374446,4067941,11.05,11.05,10.75,10.85,-0.25,465
twse,1517,利奇,2025-06-12,114/06/12,152739,1659712,10.80,10.95,10.80,10.85,0.00,544
twse,1517,利奇,2025-06-13,114/06/13,291557,3103224,10.75,10.80,10.55,10.60,-0.25,355
twse,1517,利奇,2025-06-16,114/06/16,93625,992435,10.60,10.65,10.55,10.60,0.00,160
twse,1517,利奇,2025-06-17,114/06/17,119696,1277227,10.65,10.75,10.60,10.70,+0.10,117
twse,1517,利奇,2025-06-18,114/06/18,133767,1421560,10.60,10.70,10.55,10.65,-0.05,157
twse,1517,利奇,2025-06-19,114/06/19,374094,3934313,10.60,10.65,10.35,10.35,-0.30,277
twse,1517,利奇,2025-06-20,114/06/20,367471,3740743,10.25,10.40,10.00,10.25,-0.10,336
twse,1517,利奇,2025-06-23,114/06/23,83592,843323,10.15,10.20,9.97,10.05,-0.20,286
twse,1517,利奇,2025-06-24,114/06/24,93763,962901,10.10,10.35,10.10,10.30,+0.25,132
twse,1517,利奇,2025-06-25,114/06/25,52955,547318,10.30,10.40,10.25,10.40,+0.10,107
twse,1517,利奇,2025-06-26,114/06/26,348100,3655943,10.40,10.65,10.40,10.50,+0.10,172
twse,1517,利奇,2025-06-27,114/06/27,76545,805959,10.50,10.60,10.50,10.50,0.00,103
twse,1517,利奇,2025-06-30,114/06/30,76918,795323,10.50,10.50,10.30,10.30,-0.20,132
twse,1517,利奇,2025-07-01,114/07/01,70788,739784,10.30,10.55,10.30,10.45,+0.15,163
twse,1517,利奇,2025-07-02,114/07/02,90139,936501,10.45,10.50,10.25,10.35,-0.10,158
twse,1517,利奇,2025-07-03,114/07/03,169051,1783413,10.40,10.70,10.40,10.40,+0.05,181
twse,1517,利奇,2025-07-04,114/07/04,68092,704711,10.45,10.45,10.30,10.35,-0.05,154
