market,stock_no,stock_name,date,roc_date,volume_shares,turnover_twd,open,high,low,close,change,transactions
twse,6670,復盛應用,2025-06-02,114/06/02,1749403,599114505,343.50,349.50,336.50,342.50,-8.00,1824
twse,6670,復盛應用,2025-06-03,114/06/03,991936,337917874,342.50,345.50,336.50,337.00,-5.50,1100
twse,6670,復盛應用,2025-06-04,114/06/04,1684166,559063609,341.50,342.00,327.50,327.50,-9.50,1871
twse,6670,復盛應用,2025-06-05,114/06/05,2005455,637315616,329.00,329.00,312.50,314.00,-13.50,2723
twse,6670,復盛應用,2025-06-06,114/06/06,1642103,510348833,315.00,317.50,308.00,308.00,-6.00,1915
twse,6670,復盛應用,2025-06-09,114/06/09,1692802,525025640,310.50,317.00,307.00,307.00,-1.00,2085
twse,6670,復盛應用,2025-06-10,114/06/10,1672014,518621006,311.00,316.00,307.00,308.00,+1.00,1851
twse,6670,復盛應用,2025-06-11,114/06/11,1656576,514564671,310.00,313.00,307.00,311.50,+3.50,1723
twse,6670,復盛應用,2025-06-12,114/06/12,1499317,465950732,313.00,315.00,308.50,308.50,-3.00,1570
twse,6670,復盛應用,2025-06-13,114/06/13,992978,302351136,307.00,310.00,301.50,301.50,-7.00,1637
twse,6670,復盛應用,2025-06-16,114/06/16,961800,284415315,301.50,301.50,292.50,297.00,-4.50,1592
twse,6670,復盛應用,2025-06-17,114/06/17,1768105,526205177,299.50,303.00,291.00,299.00,+2.00,2388
twse,6670,復盛應用,2025-06-18,114/06/18,1064599,320742298,298.00,305.00,297.00,300.00,+1.00,1269
twse,6670,復盛應用,2025-06-19,114/06/19,723142,218739111,302.50,304.50,297.50,303.50,+3.50,964
twse,6670,復盛應用,2025-06-20,114/06/20,2300486,681144580,304.00,304.00,294.50,294.50,-9.00,1460
twse,6670,復盛應用,2025-06-23,114/06/23,627034,184398855,294.00,297.00,290.50,296.00,+1.50,917
twse,6670,復盛應用,2025-06-24,114/06/24,579629,173468485,299.00,301.50,296.50,299.00,+3.00,845
twse,6670,復盛應用,2025-06-25,114/06/25,1080101,320487767,301.50,302.00,294.00,296.50,-2.50,1455
twse,6670,復盛應用,2025-06-26,114/06/26,762213,227563450,299.00,302.00,296.00,299.00,+2.50,845
twse,6670,復盛應用,2025-06-27,114/06/27,759122,225747719,298.50,299.00,294.50,299.00,0.00,908
twse,6670,復盛應用,2025-06-30,114/06/30,447488,133176136,300.00,300.00,297.00,297.00,-2.00,545
twse,6670,復盛應用,2025-07-01,114/07/01,1319920,398397625,298.50,308.50,296.50,305.00,+8.00,1368
twse,6670,復盛應用,2025-07-02,114/07/02,1601535,496151447,305.00,313.00,302.50,310.00,+5.00,2086
twse,6670,復盛應用,2025-07-03,114/07/03,1434981,446757938,312.00,315.00,308.50,310.50,+0.50,1305
twse,6670,復盛應用,2025-07-04,114/07/04,1425653,441629066,311.50,313.50,306.50,309.50,-1.00,1273
twse,6670,復盛應用,2025-07-07,114/07/07,2302847,665610788,286.50,288.00,281.50,283.00,X0.00,1635
twse,6670,復盛應用,2025-07-08,114/07/08,1326532,367081753,283.00,283.50,273.50,274.50,-8.50,1920
twse,6670,復盛應用,2025-07-09,114/07/09,645953,179534198,275.50,280.00,274.50,279.50,+5.00,828
twse,6670,復盛應用,2025-07-10,114/07/10,488867,136697345,279.50,281.50,276.50,279.50,0.00,699
twse,6670,復盛應用,2025-07-11,114/07/11,422606,119416937,280.50,285.00,279.00,283.00,+3.50,663
twse,6670,復盛應用,2025-07-14,114/07/14,268659,75014353,283.50,283.50,278.00,279.00,-4.00,523
twse,6670,復盛應用,2025-07-15,114/07/15,733181,200774121,279.50,279.50,271.50,272.00,-7.00,1464
twse,6670,復盛應用,2025-07-16,114/07/16,394348,108037399,273.00,275.50,272.00,274.00,+2.00,634
twse,6670,復盛應用,2025-07-17,114/07/17,455389,127523639,274.50,283.00,274.50,282.50,+8.50,719
twse,6670,復盛應用,2025-07-18,114/07/18,211384,59709493,284.50,284.50,281.00,282.00,-0.50,348
twse,6670,復盛應用,2025-07-21,114/07/21,318179,90715132,282.00,286.50,282.00,284.50,+2.50,516
twse,6670,復盛應用,2025-07-22,114/07/22,565930,158992888,286.00,286.50,277.50,281.00,-3.50,827
twse,6670,復盛應用,2025-07-23,114/07/23,593379,170331345,280.00,291.00,280.00,287.50,+6.50,759
twse,6670,復盛應用,2025-07-24,114/07/24,236867,68245541,287.50,290.50,285.50,288.00,+0.50,363
twse,6670,復盛應用,2025-07-25,114/07/25,320517,91896046,286.00,288.50,284.00,286.50,-1.50,458
twse,6670,復盛應用,2025-07-28,114/07/28,221831,63959096,286.50,290.50,286.00,288.50,+2.00,763
twse,6670,復盛應用,2025-07-29,114/07/29,387710,109677513,287.00,287.00,281.50,281.50,-7.00,663
twse,6670,復盛應用,2025-07-30,114/07/30,159054,44919743,284.00,284.50,281.50,281.50,0.00,362
twse,6670,復盛應用,2025-07-31,114/07/31,432503,121652602,281.50,283.00,278.50,281.00,-0.50,1260
twse,6670,復盛應用,2025-08-01,114/08/01,248462,69999262,277.00,283.50,277.00,282.50,+1.50,378
twse,6670,復盛應用,2025-08-04,114/08/04,433143,124320145,283.50,290.00,279.00,289.00,+6.50,910
twse,6670,復盛應用,2025-08-05,114/08/05,407869,117328088,289.50,290.50,285.00,286.50,-2.50,1748
twse,6670,復盛應用,2025-08-06,114/08/06,584686,167681427,286.00,290.50,282.50,286.00,-0.50,1829
twse,6670,復盛應用,2025-08-07,114/08/07,370491,106019643,287.00,288.50,285.50,286.00,0.00,589
twse,6670,復盛應用,2025-08-08,114/08/08,942120,260924647,281.50,282.00,273.00,277.50,-8.50,1582
twse,6670,復盛應用,2025-08-11,114/08/11,722451,195924466,275.00,275.00,268.00,272.00,-5.50,1346
twse,6670,復盛應用,2025-08-12,114/08/12,410664,112495755,272.50,277.00,271.00,271.00,-1.00,558
twse,6670,復盛應用,2025-08-13,114/08/13,506575,137682137,272.50,276.00,270.00,270.00,-1.00,1347
twse,6670,復盛應用,2025-08-14,114/08/14,715348,198922594,272.00,282.00,271.00,279.50,+9.50,1391
twse,6670,復盛應用,2025-08-15,114/08/15,805202,219177472,280.50,280.50,270.00,270.50,-9.00,3515
twse,6670,復盛應用,2025-08-18,114/08/18,935162,247379909,271.50,272.00,261.50,262.00,-8.50,2040
twse,6670,復盛應用,2025-08-19,114/08/19,976086,254615420,262.50,264.00,255.50,262.00,0.00,1211
twse,6670,復盛應用,2025-08-20,114/08/20,405149,107361705,264.50,268.00,259.00,264.00,+2.00,749
twse,6670,復盛應用,2025-08-21,114/08/21,259711,68660611,266.50,267.00,262.50,264.50,+0.50,1440
twse,6670,復盛應用,2025-08-22,114/08/22,265394,69688190,264.50,264.50,262.00,262.00,-2.50,443
twse,6670,復盛應用,2025-08-25,114/08/25,134639,35730168,265.50,266.50,264.00,265.50,+3.50,236
twse,6670,復盛應用,2025-08-26,114/08/26,387403,102537450,264.50,267.00,264.00,264.00,-1.50,386
twse,6670,復盛應用,2025-08-27,114/08/27,171993,45771089,264.00,267.50,264.00,265.50,+1.50,260
twse,6670,復盛應用,2025-08-28,114/08/28,200008,53331904,267.00,268.00,265.00,265.50,0.00,331
twse,6670,復盛應用,2025-08-29,114/08/29,311698,82831222,266.00,267.50,264.00,265.50,0.00,770
twse,6670,復盛應用,2025-09-01,114/09/01,262545,69747879,267.00,269.00,263.50,264.50,-1.00,785
twse,6670,復盛應用,2025-09-02,114/09/02,373693,98310274,265.00,266.50,261.00,263.50,-1.00,527
twse,6670,復盛應用,2025-09-03,114/09/03,223807,59306088,263.00,267.00,263.00,266.00,+2.50,359
twse,6670,復盛應用,2025-09-04,114/09/04,416810,112451717,266.50,272.00,266.50,271.00,+5.00,695
twse,6670,復盛應用,2025-09-05,114/09/05,295674,79603614,271.00,271.50,268.00,269.50,-1.50,762
twse,6670,復盛應用,2025-09-08,114/09/08,376708,99651079,268.00,268.00,263.00,264.00,-5.50,608
twse,6670,復盛應用,2025-09-09,114/09/09,282286,73913597,264.00,265.50,260.00,260.50,-3.50,623
twse,6670,復盛應用,2025-09-10,114/09/10,426709,111012942,261.00,263.00,257.50,260.00,-0.50,580
twse,6670,復盛應用,2025-09-11,114/09/11,448080,115380424,260.00,261.00,255.00,255.00,-5.00,845
twse,6670,復盛應用,2025-09-12,114/09/12,347141,88509846,255.00,258.00,253.50,254.00,-1.00,714
twse,6670,復盛應用,2025-09-15,114/09/15,318590,82401142,255.50,261.00,255.00,258.50,+4.50,519
twse,6670,復盛應用,2025-09-16,114/09/16,451279,118897393,261.00,266.00,260.00,263.50,+5.00,796
twse,6670,復盛應用,2025-09-17,114/09/17,501567,134219619,266.00,270.00,263.50,267.50,+4.00,978
twse,6670,復盛應用,2025-09-18,114/09/18,520473,140573816,270.00,272.00,267.00,269.50,+2.00,1136
twse,6670,復盛應用,2025-09-19,114/09/19,416418,111528459,267.50,270.00,266.50,268.00,-1.50,1825
twse,6670,復盛應用,2025-09-22,114/09/22,408969,110069851,268.00,272.00,267.50,268.00,0.00,815
twse,6670,復盛應用,2025-09-23,114/09/23,378078,101015359,268.00,269.00,265.00,265.00,-3.00,779
twse,6670,復盛應用,2025-09-24,114/09/24,313075,83406176,266.00,269.00,264.50,265.50,+0.50,506
twse,6670,復盛應用,2025-09-25,114/09/25,303158,80943932,268.50,270.00,265.00,265.00,-0.50,544
twse,6670,復盛應用,2025-09-26,114/09/26,264973,69316884,266.00,266.00,260.00,260.50,-4.50,433
twse,6670,復盛應用,2025-09-30,114/09/30,458125,118501804,261.00,264.00,255.00,261.00,+0.50,510
twse,6670,復盛應用,2025-10-01,114/10/01,366261,94780623,265.00,265.00,257.00,257.00,-4.00,559
twse,6670,復盛應用,2025-10-02,114/10/02,261689,67222025,261.00,262.50,255.50,255.50,-1.50,415
twse,6670,復盛應用,2025-10-03,114/10/03,208973,53470848,257.00,258.50,254.50,255.00,-0.50,344
twse,6670,復盛應用,2025-10-07,114/10/07,294666,75673386,257.50,261.00,252.00,258.00,+3.00,533
twse,6670,復盛應用,2025-10-08,114/10/08,236847,61359755,258.00,261.00,258.00,258.00,0.00,1795
twse,6670,復盛應用,2025-10-09,114/10/09,386155,99616795,260.50,261.50,256.00,257.50,-0.50,555
twse,6670,復盛應用,2025-10-13,114/10/13,479315,121331884,254.50,256.00,251.00,255.50,-2.00,723
twse,6670,復盛應用,2025-10-14,114/10/14,410570,104914924,256.00,257.50,253.00,253.00,-2.50,540
twse,6670,復盛應用,2025-10-15,114/10/15,701945,175248741,253.00,253.00,248.00,248.00,-5.00,924
twse,6670,復盛應用,2025-10-16,114/10/16,260174,65029101,251.00,252.50,248.00,250.00,+2.00,534
twse,6670,復盛應用,2025-10-17,114/10/17,337223,84478333,251.00,254.50,247.50,248.00,-2.00,497
twse,6670,復盛應用,2025-10-20,114/10/20,259267,64068259,248.50,250.00,245.00,246.00,-2.00,1082
twse,6670,復盛應用,2025-10-21,114/10/21,192222,47297932,248.00,249.00,245.00,245.00,-1.00,714
twse,6670,復盛應用,2025-10-22,114/10/22,185382,46228505,246.50,251.00,246.00,249.00,+4.00,307
twse,6670,復盛應用,2025-10-23,114/10/23,208408,52161058,250.50,252.00,247.50,251.00,+2.00,267
twse,6670,復盛應用,2025-10-27,114/10/27,498549,122497208,251.50,251.50,244.00,244.00,-7.00,868
twse,6670,復盛應用,2025-10-28,114/10/28,350961,84584378,244.00,244.50,240.00,240.00,-4.00,692
twse,6670,復盛應用,2025-10-29,114/10/29,156799,37864357,241.00,243.00,240.00,241.00,+1.00,272
twse,6670,復盛應用,2025-10-30,114/10/30,374197,91163136,241.50,245.50,241.50,244.50,+3.50,498
twse,6670,復盛應用,2025-10-31,114/10/31,370258,90483470,247.00,247.00,242.50,242.50,-2.00,612
twse,6670,復盛應用,2025-11-03,114/11/03,187723,46151113,242.50,249.00,242.50,245.50,+3.00,648
twse,6670,復盛應用,2025-11-04,114/11/04,182205,44696721,245.50,247.00,244.00,247.00,+1.50,511
twse,6670,復盛應用,2025-11-05,114/11/05,172020,41925854,244.00,245.50,242.00,245.00,-2.00,301
twse,6670,復盛應用,2025-11-06,114/11/06,128751,31640971,247.50,247.50,244.50,245.50,+0.50,199
twse,6670,復盛應用,2025-11-07,114/11/07,181207,44715921,245.50,248.50,243.50,247.50,+2.00,282
twse,6670,復盛應用,2025-11-10,114/11/10,445368,111788127,250.50,254.50,246.50,251.00,+3.50,995
twse,6670,復盛應用,2025-11-11,114/11/11,200340,50626020,253.00,254.00,251.00,252.50,+1.50,968
twse,6670,復盛應用,2025-11-12,114/11/12,378163,96754481,254.00,257.00,253.50,256.50,+4.00,542
twse,6670,復盛應用,2025-11-13,114/11/13,323359,82241711,256.50,258.00,252.00,253.00,-3.50,1469
twse,6670,復盛應用,2025-11-14,114/11/14,379535,93606360,252.00,253.50,243.00,243.50,-9.50,847
twse,6670,復盛應用,2025-11-17,114/11/17,364498,88295069,244.50,244.50,240.00,240.50,-3.00,441
twse,6670,復盛應用,2025-11-18,114/11/18,678719,158123830,239.50,239.50,229.50,233.00,-7.50,1161
