market,stock_no,stock_name,date,roc_date,volume_shares,turnover_twd,open,high,low,close,change,transactions
twse,8046,南電,2025-06-02,114/06/02,5669521,562443014,103.00,103.00,97.80,97.90,-7.10,4965
twse,8046,南電,2025-06-03,114/06/03,2836545,281340213,99.20,100.50,98.30,98.70,+0.80,2323
twse,8046,南電,2025-06-04,114/06/04,5136463,536705089,102.00,107.50,102.00,105.00,+6.30,4507
twse,8046,南電,2025-06-05,114/06/05,5276448,562679168,107.00,109.00,103.50,106.00,+1.00,3661
twse,8046,南電,2025-06-06,114/06/06,1295648,137441998,106.00,107.00,104.50,107.00,+1.00,1378
twse,8046,南電,2025-06-09,114/06/09,2531157,266974927,107.50,109.00,104.00,104.00,-3.00,2261
twse,8046,南電,2025-06-10,114/06/10,3082716,332304252,105.50,109.50,105.50,109.00,+5.00,2583
twse,8046,南電,2025-06-11,114/06/11,3550303,391874961,109.00,112.00,108.00,111.50,+2.50,2924
twse,8046,南電,2025-06-12,114/06/12,1654486,182019320,110.50,111.00,109.00,110.00,-1.50,1382
twse,8046,南電,2025-06-13,114/06/13,1392067,149444708,108.50,108.50,106.50,106.50,-3.50,1329
twse,8046,南電,2025-06-16,114/06/16,2879675,311065527,106.00,110.00,105.00,110.00,+3.50,1892
twse,8046,南電,2025-06-17,114/06/17,2087850,229631680,112.00,113.00,108.00,108.00,-2.00,2392
twse,8046,南電,2025-06-18,114/06/18,966702,105221288,108.50,109.50,108.00,109.00,+1.00,1002
twse,8046,南電,2025-06-19,114/06/19,1256494,134416893,109.50,109.50,105.50,106.50,-2.50,1592
twse,8046,南電,2025-06-20,114/06/20,1181802,124446417,107.00,107.50,104.00,105.00,-1.50,1103
twse,8046,南電,2025-06-23,114/06/23,5748970,613654054,104.00,109.00,101.50,107.50,+2.50,4513
twse,8046,南電,2025-06-24,114/06/24,4115817,456089201,109.00,113.00,109.00,112.00,+4.50,3366
twse,8046,南電,2025-06-25,114/06/25,2292634,258232167,112.50,114.00,111.50,112.50,+0.50,2029
twse,8046,南電,2025-06-26,114/06/26,1873698,212286664,112.50,114.50,112.50,113.00,+0.50,1759
twse,8046,南電,2025-06-27,114/06/27,2091988,235703759,114.50,114.50,111.00,112.50,-0.50,1728
twse,8046,南電,2025-06-30,114/06/30,838314,93730752,112.50,113.00,110.50,112.00,-0.50,905
twse,8046,南電,2025-07-01,114/07/01,2531860,288096647,112.50,116.50,111.50,111.50,-0.50,1994
twse,8046,南電,2025-07-02,114/07/02,2256689,254752798,111.50,115.00,110.00,114.00,+2.50,1944
twse,8046,南電,2025-07-03,114/07/03,14229168,1740669384,114.00,124.00,113.50,124.00,X0.00,15436
twse,8046,南電,2025-07-04,114/07/04,22873643,2927570545,124.50,132.00,124.00,126.00,+2.00,16436
twse,8046,南電,2025-07-07,114/07/07,31240384,4075283064,130.00,138.00,124.50,125.00,-1.00,22386
twse,8046,南電,2025-07-08,114/07/08,12412441,1537184733,120.50,127.50,117.50,126.50,+1.50,8207
twse,8046,南電,2025-07-09,114/07/09,26967860,3601944109,126.00,139.00,124.50,139.00,+12.50,19878
twse,8046,南電,2025-07-10,114/07/10,48821655,6957613864,142.50,145.50,140.00,140.00,+1.00,29646
twse,8046,南電,2025-07-11,114/07/11,19839682,2837807374,140.00,145.50,138.50,144.50,+4.50,14068
twse,8046,南電,2025-07-14,114/07/14,14575310,2107345084,144.50,147.50,140.50,143.50,-1.00,10395
twse,8046,南電,2025-07-15,114/07/15,24741522,3855138568,147.00,157.50,147.00,157.50,+14.00,15907
twse,8046,南電,2025-07-16,114/07/16,87286311,14643393102,161.00,173.00,160.00,173.00,+15.50,47900
twse,8046,南電,2025-07-17,114/07/17,61066195,10557086611,175.00,177.00,168.50,170.00,-3.00,40351
twse,8046,南電,2025-07-18,114/07/18,32713054,5512728570,168.00,171.50,164.50,171.00,+1.00,20809
twse,8046,南電,2025-07-21,114/07/21,19365024,3279578302,170.50,173.00,166.50,168.00,-3.00,18150
twse,8046,南電,2025-07-22,114/07/22,17153348,2825395858,169.50,170.00,161.50,163.00,-5.00,13125
twse,8046,南電,2025-07-23,114/07/23,45284732,7821780986,169.00,179.00,164.50,171.50,+8.50,37785
twse,8046,南電,2025-07-24,114/07/24,25797389,4477778038,172.00,177.50,169.00,175.00,+3.50,26238
twse,8046,南電,2025-07-25,114/07/25,52506743,9541937313,175.00,187.50,174.00,180.50,+5.50,39554
twse,8046,南電,2025-07-28,114/07/28,23650583,4346375986,183.50,185.50,181.50,184.50,+4.00,30710
twse,8046,南電,2025-07-29,114/07/29,43172117,7862984360,184.50,189.00,176.00,177.00,-7.50,29505
twse,8046,南電,2025-07-30,114/07/30,16361818,2942920372,179.50,182.00,176.50,180.00,+3.00,18711
twse,8046,南電,2025-07-31,114/07/31,12642663,2260644911,179.00,183.00,176.50,177.50,-2.50,12292
twse,8046,南電,2025-08-01,114/08/01,9994101,1764517996,174.50,179.50,173.00,176.00,-1.50,13333
twse,8046,南電,2025-08-04,114/08/04,10132589,1785530738,177.00,178.00,173.00,176.50,+0.50,8250
twse,8046,南電,2025-08-05,114/08/05,10288367,1831809600,178.00,179.50,176.50,177.50,+1.00,7371
twse,8046,南電,2025-08-06,114/08/06,7871705,1379664298,178.50,179.00,173.50,174.00,-3.50,7216
twse,8046,南電,2025-08-07,114/08/07,6226969,1088391834,175.50,177.00,172.50,172.50,-1.50,6110
twse,8046,南電,2025-08-08,114/08/08,12533122,2128096639,172.50,176.00,166.00,168.50,-4.00,11563
twse,8046,南電,2025-08-11,114/08/11,23169052,4107674196,168.50,182.50,167.00,181.00,+12.50,19476
twse,8046,南電,2025-08-12,114/08/12,10272241,1824649630,181.50,182.00,175.00,177.00,-4.00,11813
twse,8046,南電,2025-08-13,114/08/13,11017855,1926513523,179.50,180.00,170.50,172.50,-4.50,9458
twse,8046,南電,2025-08-14,114/08/14,8783148,1527180705,172.50,178.00,170.50,171.00,-1.50,9046
twse,8046,南電,2025-08-15,114/08/15,15242554,2640356869,172.50,179.50,168.50,169.50,-1.50,15303
twse,8046,南電,2025-08-18,114/08/18,22563277,4031825997,170.00,183.00,169.00,183.00,+13.50,22959
twse,8046,南電,2025-08-19,114/08/19,32963978,6092729615,194.00,195.50,178.00,180.00,-3.00,40808
twse,8046,南電,2025-08-20,114/08/20,17298547,2962530722,177.00,177.50,167.00,167.00,-13.00,18937
twse,8046,南電,2025-08-21,114/08/21,6402859,1087002491,170.50,171.50,168.00,169.00,+2.00,5728
twse,8046,南電,2025-08-22,114/08/22,5184047,887239299,171.00,173.00,169.00,172.50,+3.50,4509
twse,8046,南電,2025-08-25,114/08/25,20959366,3812635167,176.00,187.00,176.00,186.00,+13.50,19264
twse,8046,南電,2025-08-26,114/08/26,41554020,7971593962,195.00,200.00,184.50,187.00,+1.00,38812
twse,8046,南電,2025-08-27,114/08/27,29201820,5876827381,196.50,205.50,195.00,205.50,+18.50,24670
twse,8046,南電,2025-08-28,114/08/28,60944408,13292425127,213.00,226.00,208.00,226.00,+20.50,58864
twse,8046,南電,2025-08-29,114/08/29,65336302,14785826717,232.00,233.00,219.00,220.00,-6.00,42447
twse,8046,南電,2025-09-01,114/09/01,25397693,5248418448,220.00,220.00,198.00,201.00,-19.00,22907
twse,8046,南電,2025-09-02,114/09/02,20036504,3952449577,202.50,203.00,193.00,197.00,-4.00,30259
twse,8046,南電,2025-09-03,114/09/03,12486562,2405268339,196.50,197.00,190.00,190.50,-6.50,17440
twse,8046,南電,2025-09-04,114/09/04,16711916,3169225301,196.00,196.50,185.00,185.50,-5.00,16157
twse,8046,南電,2025-09-05,114/09/05,12982390,2435951622,188.00,191.00,185.00,187.50,+2.00,9802
twse,8046,南電,2025-09-08,114/09/08,9914878,1864378070,188.50,192.50,185.50,186.00,-1.50,8402
twse,8046,南電,2025-09-09,114/09/09,11011717,2053629962,188.00,191.00,183.00,184.00,-2.00,11546
twse,8046,南電,2025-09-10,114/09/10,10183725,1893425457,186.00,188.50,183.00,185.00,+1.00,8307
twse,8046,南電,2025-09-11,114/09/11,13006767,2377336935,188.50,190.00,178.50,179.50,-5.50,11951
twse,8046,南電,2025-09-12,114/09/12,9371264,1715366058,181.50,185.00,180.50,184.00,+4.50,6911
twse,8046,南電,2025-09-15,114/09/15,6543837,1182712138,184.00,184.50,177.50,179.00,-5.00,6879
twse,8046,南電,2025-09-16,114/09/16,17827122,3410787352,183.50,196.50,182.00,196.50,+17.50,13819
twse,8046,南電,2025-09-17,114/09/17,40354811,7924560475,200.50,201.50,191.00,193.50,-3.00,28673
twse,8046,南電,2025-09-18,114/09/18,21065784,4140836655,194.50,201.50,192.50,200.00,+6.50,17375
twse,8046,南電,2025-09-19,114/09/19,46256794,9998913047,208.00,220.00,206.50,220.00,+20.00,37471
twse,8046,南電,2025-09-22,114/09/22,53032597,12087788752,221.00,239.50,219.50,235.50,+15.50,58803
twse,8046,南電,2025-09-23,114/09/23,45575544,10918352056,239.00,248.00,231.00,234.50,-1.00,35763
twse,8046,南電,2025-09-24,114/09/24,30059726,6716481588,238.00,239.00,216.50,220.50,-14.00,35491
twse,8046,南電,2025-09-25,114/09/25,29271569,6737980455,222.00,238.00,219.00,229.00,+8.50,30700
twse,8046,南電,2025-09-26,114/09/26,22921821,5105454373,230.00,234.50,216.00,219.00,-10.00,31324
twse,8046,南電,2025-09-30,114/09/30,15164015,3439388117,224.00,232.00,222.50,226.00,+7.00,25458
twse,8046,南電,2025-10-01,114/10/01,14514299,3313991643,226.00,233.00,223.50,228.00,+2.00,20244
twse,8046,南電,2025-10-02,114/10/02,12446091,2861007874,232.00,233.00,224.50,231.00,+3.00,11979
