market,stock_no,stock_name,date,roc_date,volume_shares,turnover_twd,open,high,low,close,change,transactions
twse,7732,金興精密,2025-06-02,114/06/02,0,0,--,--,--,--,0.00,0
twse,7732,金興精密,2025-06-03,114/06/03,2000,85150,42.45,42.70,42.45,42.70,X0.00,2
twse,7732,金興精密,2025-06-04,114/06/04,32229,1372969,42.00,42.90,42.00,42.90,+0.20,15
twse,7732,金興精密,2025-06-05,114/06/05,20000,854400,42.00,42.90,42.00,42.90,0.00,11
twse,7732,金興精密,2025-06-06,114/06/06,8000,340100,42.50,42.85,42.40,42.85,-0.05,7
twse,7732,金興精密,2025-06-09,114/06/09,16101,670185,40.65,42.80,40.65,42.80,-0.05,24
twse,7732,金興精密,2025-06-10,114/06/10,71024,3043921,42.75,43.05,42.25,43.05,+0.25,47
twse,7732,金興精密,2025-06-11,114/06/11,25072,1076496,43.00,43.05,42.50,43.05,0.00,19
twse,7732,金興精密,2025-06-12,114/06/12,39070,1680660,43.00,43.05,43.00,43.05,0.00,19
twse,7732,金興精密,2025-06-13,114/06/13,133000,5721950,41.90,43.05,41.90,43.05,0.00,27
twse,7732,金興精密,2025-06-16,114/06/16,5048,216780,43.00,43.00,42.90,42.90,-0.15,6
twse,7732,金興精密,2025-06-17,114/06/17,2000,84300,41.60,42.70,41.60,42.70,-0.20,2
twse,7732,金興精密,2025-06-18,114/06/18,7125,295008,41.15,42.00,41.15,42.00,-0.70,7
twse,7732,金興精密,2025-06-19,114/06/19,3075,126123,41.80,41.80,40.60,40.60,-1.40,13
twse,7732,金興精密,2025-06-20,114/06/20,6425,256275,40.00,40.60,39.10,40.00,-0.60,12
twse,7732,金興精密,2025-06-23,114/06/23,9000,353650,39.20,40.00,39.20,40.00,0.00,8
twse,7732,金興精密,2025-06-24,114/06/24,15096,606840,40.00,40.80,40.00,40.80,+0.80,26
twse,7732,金興精密,2025-06-25,114/06/25,19075,765788,40.00,41.00,40.00,41.00,+0.20,23
twse,7732,金興精密,2025-06-26,114/06/26,6000,246000,41.00,41.00,41.00,41.00,0.00,6
twse,7732,金興精密,2025-06-27,114/06/27,10200,416336,41.00,41.00,40.05,40.85,-0.15,41
twse,7732,金興精密,2025-06-30,114/06/30,2010,82099,40.85,40.85,40.85,40.85,0.00,3
twse,7732,金興精密,2025-07-01,114/07/01,8612,352894,40.85,41.05,40.85,40.85,0.00,62
twse,7732,金興精密,2025-07-02,114/07/02,0,0,--,--,--,--,0.00,0
twse,7732,金興精密,2025-07-03,114/07/03,3344,136243,40.90,40.90,40.70,40.90,X0.00,7
twse,7732,金興精密,2025-07-04,114/07/04,10209,411608,40.00,40.90,39.00,40.90,0.00,10
twse,7732,金興精密,2025-07-07,114/07/07,14,572,--,--,--,--,0.00,1
twse,7732,金興精密,2025-07-08,114/07/08,6000,237500,39.00,40.00,39.00,40.00,X0.00,6
twse,7732,金興精密,2025-07-09,114/07/09,5000,198000,40.00,40.00,39.45,39.45,-0.55,5
twse,7732,金興精密,2025-07-10,114/07/10,24257,948918,39.45,39.50,39.00,39.50,+0.05,55
twse,7732,金興精密,2025-07-11,114/07/11,7000,269450,36.60,40.00,36.60,39.75,+0.25,7
twse,7732,金興精密,2025-07-14,114/07/14,1,40,--,--,--,--,0.00,1
twse,7732,金興精密,2025-07-15,114/07/15,8165,313341,38.00,39.55,38.00,39.55,X0.00,35
twse,7732,金興精密,2025-07-16,114/07/16,0,0,--,--,--,--,0.00,0
twse,7732,金興精密,2025-07-17,114/07/17,0,0,--,--,--,--,0.00,0
twse,7732,金興精密,2025-07-18,114/07/18,12000,464650,39.60,39.60,38.00,39.50,X0.00,10
twse,7732,金興精密,2025-07-21,114/07/21,36,1410,--,--,--,--,0.00,2
twse,7732,金興精密,2025-07-22,114/07/22,53,2092,--,--,--,--,0.00,10
twse,7732,金興精密,2025-07-23,114/07/23,10011,386622,38.50,38.95,38.35,38.50,X0.00,15
twse,7732,金興精密,2025-07-24,114/07/24,2000,77000,38.50,38.50,38.50,38.50,0.00,1
twse,7732,金興精密,2025-07-25,114/07/25,0,0,--,--,--,--,0.00,0
twse,7732,金興精密,2025-07-28,114/07/28,3000,115500,38.50,38.50,38.50,38.50,X0.00,3
twse,7732,金興精密,2025-07-29,114/07/29,4000,152000,38.00,38.00,38.00,38.00,-0.50,3
twse,7732,金興精密,2025-07-30,114/07/30,7007,268179,38.50,38.50,38.00,38.00,0.00,7
twse,7732,金興精密,2025-07-31,114/07/31,6130,233200,38.00,38.00,38.00,38.00,0.00,3
twse,7732,金興精密,2025-08-01,114/08/01,16162,610162,38.00,38.30,36.80,37.85,-0.15,17
twse,7732,金興精密,2025-08-04,114/08/04,12013,446144,36.70,37.75,36.70,37.20,-0.65,13
twse,7732,金興精密,2025-08-05,114/08/05,7032,262866,37.25,38.00,37.00,37.40,+0.20,11
twse,7732,金興精密,2025-08-06,114/08/06,2000,75200,37.40,37.80,37.40,37.80,+0.40,2
twse,7732,金興精密,2025-08-07,114/08/07,1000,37800,37.80,37.80,37.80,37.80,0.00,1
twse,7732,金興精密,2025-08-08,114/08/08,5039,189036,37.55,37.55,37.50,37.50,-0.30,7
twse,7732,金興精密,2025-08-11,114/08/11,1926,72361,37.20,37.20,37.20,37.20,-0.30,12
twse,7732,金興精密,2025-08-12,114/08/12,6000,226950,37.75,38.00,37.75,38.00,+0.80,4
twse,7732,金興精密,2025-08-13,114/08/13,20107,752909,37.50,37.80,37.20,37.30,-0.70,15
twse,7732,金興精密,2025-08-14,114/08/14,8000,297950,37.40,37.40,37.05,37.05,-0.25,8
twse,7732,金興精密,2025-08-15,114/08/15,11456,424385,37.05,37.50,36.70,37.10,+0.05,14
twse,7732,金興精密,2025-08-18,114/08/18,14044,517165,37.10,37.25,36.50,37.25,+0.15,14
twse,7732,金興精密,2025-08-19,114/08/19,4579,167712,36.70,37.00,36.50,36.50,-0.75,5
twse,7732,金興精密,2025-08-20,114/08/20,12001,442637,36.50,37.10,36.50,36.60,+0.10,11
