market,stock_no,stock_name,date,roc_date,volume_shares,turnover_twd,open,high,low,close,change,transactions
twse,2354,鴻準,2025-06-02,114/06/02,9331337,547286095,59.90,60.20,57.80,58.00,-2.60,7002
twse,2354,鴻準,2025-06-03,114/06/03,4815126,279052660,58.30,58.70,57.50,57.60,-0.40,3636
twse,2354,鴻準,2025-06-04,114/06/04,8164523,485015537,58.40,59.80,58.30,59.60,+2.00,4851
twse,2354,鴻準,2025-06-05,114/06/05,6930715,417570335,60.00,60.80,59.60,60.30,+0.70,5033
twse,2354,鴻準,2025-06-06,114/06/06,39962415,2482431053,62.00,63.60,61.50,61.70,+1.40,24220
twse,2354,鴻準,2025-06-09,114/06/09,11587125,711142323,62.20,62.20,61.00,61.00,-0.70,8313
twse,2354,鴻準,2025-06-10,114/06/10,9420112,582757865,61.30,62.10,61.20,62.00,+1.00,6368
twse,2354,鴻準,2025-06-11,114/06/11,9838546,614839615,62.50,62.90,62.10,62.80,+0.80,6465
twse,2354,鴻準,2025-06-12,114/06/12,28132335,1810329260,63.00,65.50,62.70,65.00,+2.20,19181
twse,2354,鴻準,2025-06-13,114/06/13,16353114,1055279643,64.30,65.30,63.70,64.30,-0.70,11500
twse,2354,鴻準,2025-06-16,114/06/16,8063655,517140458,63.90,64.70,63.60,64.40,+0.10,5459
twse,2354,鴻準,2025-06-17,114/06/17,9156678,587378182,64.60,64.90,63.40,63.60,-0.80,6549
twse,2354,鴻準,2025-06-18,114/06/18,5364314,341539734,63.20,64.20,63.10,63.50,-0.10,4170
twse,2354,鴻準,2025-06-19,114/06/19,6935792,435937826,63.80,64.00,62.40,62.50,-1.00,5033
twse,2354,鴻準,2025-06-20,114/06/20,14322072,895887977,62.40,63.20,61.50,62.70,+0.20,5331
twse,2354,鴻準,2025-06-23,114/06/23,4795963,296786139,61.30,62.60,61.00,62.60,-0.10,4019
twse,2354,鴻準,2025-06-24,114/06/24,8225397,529404680,63.80,64.80,63.20,64.60,+2.00,5904
twse,2354,鴻準,2025-06-25,114/06/25,7781031,503858361,65.20,65.50,64.20,64.70,+0.10,5280
twse,2354,鴻準,2025-06-26,114/06/26,6445278,418921390,65.00,65.70,64.50,64.50,-0.20,4830
twse,2354,鴻準,2025-06-27,114/06/27,5926433,383756348,65.10,65.20,64.50,64.60,+0.10,4115
twse,2354,鴻準,2025-06-30,114/06/30,5789822,369767304,64.70,64.90,63.50,63.50,-1.10,4251
twse,2354,鴻準,2025-07-01,114/07/01,10030948,649993232,63.70,65.40,63.60,65.00,+1.50,6254
twse,2354,鴻準,2025-07-02,114/07/02,8439361,538064171,64.00,64.30,63.40,63.40,X0.00,5511
twse,2354,鴻準,2025-07-03,114/07/03,5743111,369057668,64.00,64.60,63.90,64.50,+1.10,3829
twse,2354,鴻準,2025-07-04,114/07/04,5348506,340220929,64.50,64.60,63.00,63.10,-1.40,4306
twse,2354,鴻準,2025-07-07,114/07/07,5181663,326824877,63.10,63.60,62.30,63.00,-0.10,3747
twse,2354,鴻準,2025-07-08,114/07/08,7237709,459699862,62.80,64.30,62.40,63.80,+0.80,5159
twse,2354,鴻準,2025-07-09,114/07/09,4770358,305561404,64.00,64.40,63.60,63.90,+0.10,3481
twse,2354,鴻準,2025-07-10,114/07/10,4049455,258606421,64.10,64.30,63.50,63.70,-0.20,2975
twse,2354,鴻準,2025-07-11,114/07/11,8504243,548673016,64.00,65.20,64.00,64.30,+0.60,5672
twse,2354,鴻準,2025-07-14,114/07/14,4466396,283585574,64.50,64.60,63.20,63.20,-1.10,3596
twse,2354,鴻準,2025-07-15,114/07/15,3929156,250433692,63.00,64.00,63.00,63.90,+0.70,2827
twse,2354,鴻準,2025-07-16,114/07/16,5571305,357208801,63.90,64.60,63.60,63.60,-0.30,4096
twse,2354,鴻準,2025-07-17,114/07/17,7100878,458801130,64.00,65.10,64.00,64.60,+1.00,5180
twse,2354,鴻準,2025-07-18,114/07/18,25320022,1671693815,65.00,67.80,64.60,65.40,+0.80,16674
twse,2354,鴻準,2025-07-21,114/07/21,8638265,560656696,65.40,65.90,64.40,64.40,-1.00,6128
twse,2354,鴻準,2025-07-22,114/07/22,10638510,672998904,64.50,64.50,62.40,62.40,-2.00,7784
