market,stock_no,stock_name,date,roc_date,volume_shares,turnover_twd,open,high,low,close,change,transactions
twse,1446,宏和,2025-06-02,114/06/02,218046,5660347,26.55,26.55,25.70,26.15,-0.45,135
twse,1446,宏和,2025-06-03,114/06/03,212009,5628787,26.25,26.95,26.15,26.50,+0.35,133
twse,1446,宏和,2025-06-04,114/06/04,168132,4507463,26.60,27.00,26.60,26.80,+0.30,105
twse,1446,宏和,2025-06-05,114/06/05,126619,3393766,26.90,27.10,26.60,26.60,-0.20,101
twse,1446,宏和,2025-06-06,114/06/06,225210,6059057,26.85,27.00,26.70,26.85,+0.25,111
twse,1446,宏和,2025-06-09,114/06/09,252163,6677136,27.15,27.15,26.15,26.70,-0.15,185
twse,1446,宏和,2025-06-10,114/06/10,188694,5059325,26.70,26.95,26.65,26.80,+0.10,120
twse,1446,宏和,2025-06-11,114/06/11,622965,16146123,26.50,26.50,25.45,26.20,-0.60,421
twse,1446,宏和,2025-06-12,114/06/12,553851,14372626,26.20,26.35,25.60,25.95,-0.25,392
twse,1446,宏和,2025-06-13,114/06/13,457820,11656113,25.75,25.75,25.25,25.30,-0.65,313
twse,1446,宏和,2025-06-16,114/06/16,191505,4798491,24.90,25.25,24.80,25.00,-0.30,137
twse,1446,宏和,2025-06-17,114/06/17,101419,2567388,25.10,25.45,25.10,25.35,+0.35,72
twse,1446,宏和,2025-06-18,114/06/18,125946,3235684,25.35,25.90,25.35,25.60,+0.25,109
twse,1446,宏和,2025-06-19,114/06/19,295418,7393717,25.35,25.35,24.70,24.85,-0.75,175
twse,1446,宏和,2025-06-20,114/06/20,223479,5493338,24.95,25.05,24.35,24.55,-0.30,166
twse,1446,宏和,2025-06-23,114/06/23,147239,3563943,24.50,24.50,23.90,24.50,-0.05,106
twse,1446,宏和,2025-06-24,114/06/24,241468,5905129,24.20,24.80,24.20,24.35,-0.15,177
twse,1446,宏和,2025-06-25,114/06/25,226080,5482751,24.35,24.50,24.00,24.30,-0.05,166
twse,1446,宏和,2025-06-26,114/06/26,260176,6460747,24.30,25.40,24.25,24.95,+0.65,176
twse,1446,宏和,2025-06-27,114/06/27,211570,5329310,25.20,25.40,24.90,25.15,+0.20,159
twse,1446,宏和,2025-06-30,114/06/30,113759,2821695,25.20,25.20,24.65,24.65,-0.50,97
twse,1446,宏和,2025-07-01,114/07/01,108100,2696275,24.65,25.15,24.65,25.00,+0.35,74
twse,1446,宏和,2025-07-02,114/07/02,96919,2414559,24.70,25.10,24.70,24.90,-0.10,86
twse,1446,宏和,2025-07-03,114/07/03,466753,11719496,24.85,25.35,24.85,25.20,+0.30,236
twse,1446,宏和,2025-07-04,114/07/04,185645,4634496,25.60,25.60,24.70,25.00,-0.20,150
twse,1446,宏和,2025-07-07,114/07/07,235481,5770649,24.80,24.80,24.40,24.40,-0.60,143
twse,1446,宏和,2025-07-08,114/07/08,163156,3947465,24.35,24.35,24.00,24.30,-0.10,125
twse,1446,宏和,2025-07-09,114/07/09,159376,3866792,24.25,24.40,24.15,24.35,+0.05,90
twse,1446,宏和,2025-07-10,114/07/10,368862,8861789,24.30,24.30,23.90,23.90,-0.45,232
twse,1446,宏和,2025-07-11,114/07/11,758825,17685117,23.40,23.60,23.20,23.20,-0.70,429
twse,1446,宏和,2025-07-14,114/07/14,297561,6909740,23.20,23.35,23.00,23.30,+0.10,224
twse,1446,宏和,2025-07-15,114/07/15,370714,8636653,23.30,23.55,23.05,23.15,-0.15,259
