market,stock_no,stock_name,date,roc_date,volume_shares,turnover_twd,open,high,low,close,change,transactions
twse,4532,瑞智,2025-06-02,114/06/02,1855368,53741474,29.65,29.65,28.65,28.85,-0.85,1137
twse,4532,瑞智,2025-06-03,114/06/03,1861774,53575160,29.00,29.35,28.45,28.45,-0.40,1208
twse,4532,瑞智,2025-06-04,114/06/04,1650523,46893286,28.65,28.75,28.20,28.20,-0.25,1163
twse,4532,瑞智,2025-06-05,114/06/05,1925227,53668343,28.10,28.20,27.65,27.90,-0.30,1330
twse,4532,瑞智,2025-06-06,114/06/06,1197721,33689077,27.75,28.30,27.75,28.05,+0.15,840
twse,4532,瑞智,2025-06-09,114/06/09,1317404,36978954,28.10,28.30,27.85,28.10,+0.05,898
twse,4532,瑞智,2025-06-10,114/06/10,6604757,173953493,27.00,27.15,26.05,26.15,-1.95,3848
twse,4532,瑞智,2025-06-11,114/06/11,2819424,73250156,26.00,26.10,25.80,26.10,-0.05,1568
twse,4532,瑞智,2025-06-12,114/06/12,2137866,55195154,26.10,26.10,25.70,25.75,-0.35,1497
twse,4532,瑞智,2025-06-13,114/06/13,2012040,51319356,25.60,25.70,25.35,25.35,-0.40,1450
twse,4532,瑞智,2025-06-16,114/06/16,1847816,46475932,25.35,25.45,25.00,25.10,-0.25,1331
twse,4532,瑞智,2025-06-17,114/06/17,2601596,66885926,25.30,25.90,25.20,25.80,+0.70,1712
twse,4532,瑞智,2025-06-18,114/06/18,1632816,41917068,25.95,25.95,25.55,25.60,-0.20,1189
twse,4532,瑞智,2025-06-19,114/06/19,1545391,38882571,25.55,25.55,25.00,25.05,-0.55,927
twse,4532,瑞智,2025-06-20,114/06/20,1865867,46277157,25.10,25.25,24.60,24.80,-0.25,914
twse,4532,瑞智,2025-06-23,114/06/23,1790305,43946745,24.70,24.80,24.25,24.80,0.00,766
twse,4532,瑞智,2025-06-24,114/06/24,1851027,46027008,24.90,25.10,24.65,24.70,-0.10,1108
twse,4532,瑞智,2025-06-25,114/06/25,1322655,32592097,24.85,24.90,24.50,24.55,-0.15,856
twse,4532,瑞智,2025-06-26,114/06/26,1934588,47725483,24.60,24.95,24.50,24.65,+0.10,1186
twse,4532,瑞智,2025-06-27,114/06/27,1227034,30236499,24.60,24.80,24.50,24.60,-0.05,784
twse,4532,瑞智,2025-06-30,114/06/30,1537119,37501111,24.65,24.65,24.20,24.35,-0.25,1031
twse,4532,瑞智,2025-07-01,114/07/01,1368519,33643387,24.55,24.80,24.40,24.45,+0.10,868
twse,4532,瑞智,2025-07-02,114/07/02,1695603,42181084,24.60,25.10,24.50,25.10,+0.65,1108
