market,stock_no,stock_name,date,roc_date,volume_shares,turnover_twd,open,high,low,close,change,transactions
twse,5306,桂盟,2025-06-02,114/06/02,340585,33193998,100.00,100.00,96.50,96.60,-3.40,379
twse,5306,桂盟,2025-06-03,114/06/03,219157,21391352,97.00,98.50,96.30,98.10,+1.50,213
twse,5306,桂盟,2025-06-04,114/06/04,132224,13030605,98.70,99.00,97.90,98.10,0.00,334
twse,5306,桂盟,2025-06-05,114/06/05,117493,11453002,98.00,98.40,96.60,96.70,-1.40,175
twse,5306,桂盟,2025-06-06,114/06/06,198276,19054630,96.50,96.70,95.80,96.00,-0.70,236
twse,5306,桂盟,2025-06-09,114/06/09,97144,9251745,95.40,96.00,94.90,95.70,-0.30,174
twse,5306,桂盟,2025-06-10,114/06/10,104766,10165708,97.60,97.70,96.60,96.60,+0.90,157
twse,5306,桂盟,2025-06-11,114/06/11,349939,33067735,95.00,96.10,93.50,94.70,-1.90,510
twse,5306,桂盟,2025-06-12,114/06/12,111813,10619064,95.00,95.40,94.60,94.80,+0.10,356
twse,5306,桂盟,2025-06-13,114/06/13,380218,34964634,93.90,93.90,91.20,91.70,-3.10,584
twse,5306,桂盟,2025-06-16,114/06/16,174686,15904864,91.70,92.40,90.30,91.90,+0.20,238
twse,5306,桂盟,2025-06-17,114/06/17,94735,8689422,92.10,92.90,91.00,91.70,-0.20,140
twse,5306,桂盟,2025-06-18,114/06/18,119724,10970495,91.30,92.20,91.20,91.50,-0.20,149
twse,5306,桂盟,2025-06-19,114/06/19,179163,16162537,91.00,91.40,89.80,89.90,-1.60,261
twse,5306,桂盟,2025-06-20,114/06/20,487503,42912104,89.50,89.50,87.60,87.90,-2.00,374
twse,5306,桂盟,2025-06-23,114/06/23,138096,12095362,86.90,89.00,86.30,88.90,+1.00,201
twse,5306,桂盟,2025-06-24,114/06/24,90704,8228080,88.90,91.50,88.90,90.30,+1.40,403
twse,5306,桂盟,2025-06-25,114/06/25,54062,4906679,90.30,91.50,90.20,90.70,+0.40,163
twse,5306,桂盟,2025-06-26,114/06/26,191049,17736049,91.40,93.40,91.40,92.40,+1.70,275
twse,5306,桂盟,2025-06-27,114/06/27,179029,16855572,93.00,94.50,93.00,94.40,+2.00,464
twse,5306,桂盟,2025-06-30,114/06/30,91521,8540511,93.50,93.80,92.90,93.00,X0.00,117
twse,5306,桂盟,2025-07-01,114/07/01,201009,19215836,93.50,96.80,93.50,96.10,+3.10,358
twse,5306,桂盟,2025-07-02,114/07/02,82459,7908689,96.10,97.20,95.10,95.80,-0.30,204
twse,5306,桂盟,2025-07-03,114/07/03,194643,19051567,97.10,98.30,97.00,98.00,+2.20,250
twse,5306,桂盟,2025-07-04,114/07/04,66526,6449189,98.50,98.60,96.00,96.40,-1.60,178
twse,5306,桂盟,2025-07-07,114/07/07,39624,3772635,95.60,96.10,94.80,95.00,-1.40,290
twse,5306,桂盟,2025-07-08,114/07/08,110666,10339305,94.20,94.90,92.80,93.70,-1.30,478
twse,5306,桂盟,2025-07-09,114/07/09,44687,4180886,93.80,94.20,93.20,93.40,-0.30,61
twse,5306,桂盟,2025-07-10,114/07/10,39197,3665306,93.90,94.20,93.10,93.40,0.00,148
twse,5306,桂盟,2025-07-11,114/07/11,122659,11497494,92.20,94.50,92.20,94.40,+1.00,145
twse,5306,桂盟,2025-07-14,114/07/14,114940,10615746,94.30,94.30,91.70,91.80,-2.60,444
