market,stock_no,stock_name,date,roc_date,volume_shares,turnover_twd,open,high,low,close,change,transactions
twse,1220,台榮,2025-06-02,114/06/02,376654,5193576,14.10,14.10,13.60,13.65,-0.55,264
twse,1220,台榮,2025-06-03,114/06/03,683819,9197570,13.65,13.65,13.25,13.35,-0.30,358
twse,1220,台榮,2025-06-04,114/06/04,211560,2860034,13.25,13.65,13.25,13.55,+0.20,134
twse,1220,台榮,2025-06-05,114/06/05,184429,2531605,13.60,13.90,13.55,13.65,+0.10,130
twse,1220,台榮,2025-06-06,114/06/06,166226,2254960,13.65,13.65,13.50,13.60,-0.05,112
twse,1220,台榮,2025-06-09,114/06/09,64664,876003,13.65,13.65,13.50,13.60,0.00,75
twse,1220,台榮,2025-06-10,114/06/10,72273,984018,13.60,13.65,13.60,13.60,0.00,59
twse,1220,台榮,2025-06-11,114/06/11,87028,1179667,13.55,13.60,13.50,13.50,-0.10,77
twse,1220,台榮,2025-06-12,114/06/12,78741,1068631,13.60,13.60,13.55,13.60,+0.10,67
twse,1220,台榮,2025-06-13,114/06/13,140408,1888149,13.60,13.60,13.40,13.40,-0.20,112
twse,1220,台榮,2025-06-16,114/06/16,72762,979920,13.40,13.55,13.40,13.55,+0.15,76
twse,1220,台榮,2025-06-17,114/06/17,133533,1814397,13.50,13.65,13.50,13.65,+0.10,89
twse,1220,台榮,2025-06-18,114/06/18,72582,990829,13.70,13.70,13.60,13.70,+0.05,67
twse,1220,台榮,2025-06-19,114/06/19,182072,2452620,13.65,13.65,13.40,13.40,-0.30,137
twse,1220,台榮,2025-06-20,114/06/20,209412,2794947,13.40,13.50,13.25,13.50,+0.10,139
twse,1220,台榮,2025-06-23,114/06/23,83263,1102904,13.30,13.35,13.20,13.25,-0.25,87
twse,1220,台榮,2025-06-24,114/06/24,44294,596365,13.50,13.50,13.40,13.50,+0.25,58
twse,1220,台榮,2025-06-25,114/06/25,98873,1333376,13.45,13.55,13.40,13.45,-0.05,96
twse,1220,台榮,2025-06-26,114/06/26,321221,4451346,13.65,14.00,13.60,13.95,+0.50,251
twse,1220,台榮,2025-06-27,114/06/27,205913,2899857,14.05,14.20,13.95,14.15,+0.20,179
twse,1220,台榮,2025-06-30,114/06/30,169702,2380730,14.20,14.20,13.90,14.10,-0.05,112
twse,1220,台榮,2025-07-01,114/07/01,151020,2132735,14.05,14.20,13.95,14.15,+0.05,110
twse,1220,台榮,2025-07-02,114/07/02,57552,814411,14.15,14.20,14.10,14.20,+0.05,62
twse,1220,台榮,2025-07-03,114/07/03,85940,1215206,14.15,14.20,14.05,14.20,0.00,67
twse,1220,台榮,2025-07-04,114/07/04,144289,2034905,14.20,14.20,14.05,14.20,0.00,81
twse,1220,台榮,2025-07-07,114/07/07,59790,838025,14.20,14.20,13.95,14.00,-0.20,70
twse,1220,台榮,2025-07-08,114/07/08,69492,965454,13.95,13.95,13.80,13.95,-0.05,69
twse,1220,台榮,2025-07-09,114/07/09,57864,803171,14.00,14.00,13.85,13.85,-0.10,60
twse,1220,台榮,2025-07-10,114/07/10,56294,784042,13.85,13.95,13.85,13.95,+0.10,43
twse,1220,台榮,2025-07-11,114/07/11,76118,1063372,14.00,14.05,13.95,14.00,+0.05,54
twse,1220,台榮,2025-07-14,114/07/14,118591,1665814,14.15,14.15,13.95,14.00,0.00,95
twse,1220,台榮,2025-07-15,114/07/15,194853,2742486,14.05,14.20,14.00,14.05,+0.05,154
twse,1220,台榮,2025-07-16,114/07/16,129671,1740363,13.35,13.55,13.30,13.40,X0.00,137
twse,1220,台榮,2025-07-17,114/07/17,62376,841221,13.40,13.55,13.40,13.45,+0.05,52
twse,1220,台榮,2025-07-18,114/07/18,165520,2250872,13.40,13.70,13.40,13.65,+0.20,103
twse,1220,台榮,2025-07-21,114/07/21,65323,889454,13.65,13.65,13.55,13.60,-0.05,44
twse,1220,台榮,2025-07-22,114/07/22,176721,2372841,13.60,13.60,13.30,13.30,-0.30,114
twse,1220,台榮,2025-07-23,114/07/23,105593,1418453,13.35,13.50,13.30,13.35,+0.05,72
twse,1220,台榮,2025-07-24,114/07/24,65528,873629,13.40,13.50,13.30,13.30,-0.05,79
twse,1220,台榮,2025-07-25,114/07/25,39043,522772,13.40,13.45,13.35,13.40,+0.10,39
twse,1220,台榮,2025-07-28,114/07/28,50132,671976,13.40,13.45,13.40,13.45,+0.05,42
twse,1220,台榮,2025-07-29,114/07/29,65699,879876,13.45,13.45,13.35,13.35,-0.10,75
twse,1220,台榮,2025-07-30,114/07/30,86197,1156523,13.55,13.55,13.35,13.55,+0.20,78
twse,1220,台榮,2025-07-31,114/07/31,59619,801289,13.50,13.55,13.40,13.45,-0.10,45
twse,1220,台榮,2025-08-01,114/08/01,173291,2322356,13.40,13.50,13.30,13.50,+0.05,116
twse,1220,台榮,2025-08-04,114/08/04,67287,904547,13.35,13.50,13.35,13.50,0.00,67
twse,1220,台榮,2025-08-05,114/08/05,149449,2012731,13.50,13.55,13.40,13.40,-0.10,90
twse,1220,台榮,2025-08-06,114/08/06,110084,1474479,13.40,13.45,13.35,13.35,-0.05,65
twse,1220,台榮,2025-08-07,114/08/07,98724,1321610,13.40,13.45,13.35,13.35,0.00,73
twse,1220,台榮,2025-08-08,114/08/08,59088,788661,13.30,13.40,13.30,13.35,0.00,75
twse,1220,台榮,2025-08-11,114/08/11,127115,1687642,13.45,13.45,13.25,13.25,-0.10,86
twse,1220,台榮,2025-08-12,114/08/12,183815,2437528,13.25,13.30,13.20,13.25,0.00,118
twse,1220,台榮,2025-08-13,114/08/13,173308,2298532,13.25,13.40,13.20,13.20,-0.05,128
twse,1220,台榮,2025-08-14,114/08/14,56968,756633,13.35,13.35,13.20,13.30,+0.10,53
twse,1220,台榮,2025-08-15,114/08/15,78915,1047500,13.30,13.35,13.20,13.25,-0.05,89
twse,1220,台榮,2025-08-18,114/08/18,136038,1800422,13.30,13.30,13.15,13.30,+0.05,114
twse,1220,台榮,2025-08-19,114/08/19,129540,1716364,13.30,13.30,13.20,13.30,0.00,105
twse,1220,台榮,2025-08-20,114/08/20,201148,2640789,13.25,13.25,13.05,13.10,-0.20,149
twse,1220,台榮,2025-08-21,114/08/21,76270,1005959,13.20,13.25,13.15,13.20,+0.10,65
twse,1220,台榮,2025-08-22,114/08/22,162221,2146526,13.20,13.35,13.15,13.30,+0.10,90
twse,1220,台榮,2025-08-25,114/08/25,104151,1382762,13.30,13.35,13.20,13.30,0.00,86
twse,1220,台榮,2025-08-26,114/08/26,42549,560960,13.25,13.25,13.15,13.15,-0.15,44
twse,1220,台榮,2025-08-27,114/08/27,146289,1919011,13.15,13.25,13.05,13.15,0.00,102
twse,1220,台榮,2025-08-28,114/08/28,149500,1959727,13.25,13.25,13.05,13.10,-0.05,103
twse,1220,台榮,2025-08-29,114/08/29,160893,2108218,13.15,13.20,13.00,13.05,-0.05,125
twse,1220,台榮,2025-09-01,114/09/01,215946,2798251,13.05,13.05,12.90,13.05,0.00,165
twse,1220,台榮,2025-09-02,114/09/02,120815,1560462,13.00,13.00,12.85,12.90,-0.15,113
twse,1220,台榮,2025-09-03,114/09/03,107631,1386729,12.95,12.95,12.85,12.95,+0.05,83
twse,1220,台榮,2025-09-04,114/09/04,110921,1442981,12.95,13.10,12.90,13.05,+0.10,91
twse,1220,台榮,2025-09-05,114/09/05,91510,1197707,13.10,13.10,13.05,13.10,+0.05,70
twse,1220,台榮,2025-09-08,114/09/08,76499,1001558,13.15,13.15,13.00,13.15,+0.05,71
twse,1220,台榮,2025-09-09,114/09/09,152535,1985800,13.15,13.15,13.00,13.00,-0.15,64
twse,1220,台榮,2025-09-10,114/09/10,64730,846582,13.15,13.15,13.05,13.10,+0.10,61
twse,1220,台榮,2025-09-11,114/09/11,118071,1532586,13.10,13.10,12.95,13.00,-0.10,76
twse,1220,台榮,2025-09-12,114/09/12,144357,1867177,13.00,13.00,12.90,12.95,-0.05,108
twse,1220,台榮,2025-09-15,114/09/15,75293,971841,12.90,13.00,12.85,12.95,0.00,75
twse,1220,台榮,2025-09-16,114/09/16,97178,1253405,12.95,12.95,12.85,12.90,-0.05,98
twse,1220,台榮,2025-09-17,114/09/17,59603,769832,13.00,13.00,12.90,12.90,0.00,105
twse,1220,台榮,2025-09-18,114/09/18,96415,1243315,12.90,12.95,12.85,12.90,0.00,68
twse,1220,台榮,2025-09-19,114/09/19,96122,1236270,12.85,12.90,12.80,12.85,-0.05,95
twse,1220,台榮,2025-09-22,114/09/22,132669,1718405,12.90,13.00,12.90,13.00,+0.15,101
twse,1220,台榮,2025-09-23,114/09/23,95920,1236508,13.05,13.05,12.85,12.85,-0.15,99
twse,1220,台榮,2025-09-24,114/09/24,63335,814040,12.95,12.95,12.80,12.85,0.00,71
twse,1220,台榮,2025-09-25,114/09/25,59030,760125,12.95,12.95,12.85,12.85,0.00,52
twse,1220,台榮,2025-09-26,114/09/26,119362,1533595,12.90,12.95,12.80,12.90,+0.05,85
twse,1220,台榮,2025-09-30,114/09/30,29299,377439,12.85,12.95,12.80,12.90,0.00,41
twse,1220,台榮,2025-10-01,114/10/01,18316,235737,12.85,12.90,12.85,12.85,-0.05,29
twse,1220,台榮,2025-10-02,114/10/02,308956,4011974,12.80,13.25,12.80,13.00,+0.15,188
twse,1220,台榮,2025-10-03,114/10/03,390795,5087815,13.00,13.25,12.80,13.15,+0.15,247
twse,1220,台榮,2025-10-07,114/10/07,358236,4678278,13.15,13.30,12.85,13.30,+0.15,163
twse,1220,台榮,2025-10-08,114/10/08,260296,3414605,13.30,13.30,12.95,13.20,-0.10,129
