market,stock_no,stock_name,date,roc_date,volume_shares,turnover_twd,open,high,low,close,change,transactions
twse,1402,遠東新,2025-06-02,114/06/02,25443059,814870036,32.55,32.60,31.80,32.20,-0.60,7957
twse,1402,遠東新,2025-06-03,114/06/03,14991915,488549529,32.20,32.90,32.05,32.70,+0.50,4203
twse,1402,遠東新,2025-06-04,114/06/04,14561205,476737859,32.85,33.10,32.50,32.65,-0.05,4370
twse,1402,遠東新,2025-06-05,114/06/05,4665259,152433247,32.60,32.90,32.50,32.65,0.00,2226
twse,1402,遠東新,2025-06-06,114/06/06,5827931,192609088,32.80,33.30,32.65,33.00,+0.35,3063
twse,1402,遠東新,2025-06-09,114/06/09,5352221,175715215,33.25,33.25,32.60,32.75,-0.25,3142
twse,1402,遠東新,2025-06-10,114/06/10,7454016,247279113,32.85,33.30,32.80,33.20,+0.45,3353
twse,1402,遠東新,2025-06-11,114/06/11,7499029,248673584,33.05,33.35,32.85,33.20,0.00,2756
twse,1402,遠東新,2025-06-12,114/06/12,5131509,170197290,33.20,33.45,32.95,33.05,-0.15,2046
twse,1402,遠東新,2025-06-13,114/06/13,6105398,202273215,32.85,33.40,32.80,33.10,+0.05,2414
twse,1402,遠東新,2025-06-16,114/06/16,5640460,187791610,33.20,33.45,33.10,33.30,+0.20,2645
twse,1402,遠東新,2025-06-17,114/06/17,7367242,246087412,33.50,33.60,33.20,33.35,+0.05,3650
twse,1402,遠東新,2025-06-18,114/06/18,6731832,224854680,33.45,33.60,33.25,33.30,-0.05,3876
twse,1402,遠東新,2025-06-19,114/06/19,6224407,207020594,33.15,33.45,33.05,33.10,-0.20,3063
twse,1402,遠東新,2025-06-20,114/06/20,15146302,501183045,33.30,33.55,32.90,32.90,-0.20,3691
twse,1402,遠東新,2025-06-23,114/06/23,5832386,190522192,32.70,32.85,32.40,32.60,-0.30,4185
twse,1402,遠東新,2025-06-24,114/06/24,6609174,218991257,33.00,33.35,32.75,33.00,+0.40,3230
twse,1402,遠東新,2025-06-25,114/06/25,6507637,214506632,33.05,33.25,32.75,32.75,-0.25,4388
twse,1402,遠東新,2025-06-26,114/06/26,6559173,218697804,33.00,33.70,32.90,33.15,+0.40,4231
twse,1402,遠東新,2025-06-27,114/06/27,9230627,306483983,33.25,33.40,32.85,33.15,0.00,4586
twse,1402,遠東新,2025-06-30,114/06/30,9807270,325742653,33.05,33.60,32.90,32.90,-0.25,4527
twse,1402,遠東新,2025-07-01,114/07/01,11397895,382109945,33.10,34.00,33.10,33.20,+0.30,5878
twse,1402,遠東新,2025-07-02,114/07/02,6179030,206115027,33.05,33.60,33.05,33.45,+0.25,4299
twse,1402,遠東新,2025-07-03,114/07/03,10594892,359127875,33.25,34.15,33.25,33.90,+0.45,5619
twse,1402,遠東新,2025-07-04,114/07/04,11731647,399138716,33.95,34.30,33.70,33.80,-0.10,5309
twse,1402,遠東新,2025-07-07,114/07/07,11087470,370945996,33.80,33.90,33.25,33.35,-0.45,8803
twse,1402,遠東新,2025-07-08,114/07/08,15370380,503158180,33.50,33.55,32.45,32.55,-0.80,8479
twse,1402,遠東新,2025-07-09,114/07/09,19806637,640714410,32.55,32.70,32.00,32.25,-0.30,6191
twse,1402,遠東新,2025-07-10,114/07/10,16662198,547678627,32.25,33.20,32.20,32.85,+0.60,5836
twse,1402,遠東新,2025-07-11,114/07/11,18017851,593661084,32.80,33.20,32.60,32.90,+0.05,5014
twse,1402,遠東新,2025-07-14,114/07/14,25978692,848182248,32.90,33.15,32.35,32.35,-0.55,7172
twse,1402,遠東新,2025-07-15,114/07/15,53921627,1609586498,30.55,30.60,29.05,29.20,X0.00,21352
twse,1402,遠東新,2025-07-16,114/07/16,28386270,814947251,29.25,29.30,28.45,28.55,-0.65,14776
twse,1402,遠東新,2025-07-17,114/07/17,20897909,597979581,28.60,28.90,28.55,28.85,+0.30,10175
twse,1402,遠東新,2025-07-18,114/07/18,12997957,378183001,29.05,29.25,28.90,29.05,+0.20,3894
twse,1402,遠東新,2025-07-21,114/07/21,7716030,223282790,29.10,29.20,28.85,28.85,-0.20,3630
twse,1402,遠東新,2025-07-22,114/07/22,6220671,179297278,28.90,29.10,28.65,28.70,-0.15,3335
twse,1402,遠東新,2025-07-23,114/07/23,4923765,143329856,28.95,29.25,28.85,29.25,+0.55,2650
twse,1402,遠東新,2025-07-24,114/07/24,4528083,131513790,29.25,29.25,28.95,29.00,-0.25,2971
