market,stock_no,stock_name,date,strategy,reason,score,score_label,score_reasons,volume_ratio,ma20_slope_pct,ma60_slope_pct,close,volume,ma5,ma10,ma20,ma60,source,chart_path
TWSE,1714,和桐,2026-06-08,群聯策略,季線支撐後跳空站回5/10/20MA,3,3/5,短中期均線維持多頭排列、季線站在半年線之上、收盤仍在季線上方、K棒未轉弱、量能健康放大至20日均量2.1x,2.13,3.33,1.7,12.65,19134628,10.691999999999986,10.105999999999998,9.940999999999997,9.737999999999994,data/all_twse/1714_2025-06-02_2026-06-02.csv,
TWSE,1727,中華化,2026-06-08,台積電策略,主升段回測月線,4,4/5,月線仍在季線之上、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、紅K收在當日相對高位,0.62,12.42,27.35,92.8,8828053,94.13999999999997,96.49000000000001,89.59,69.39499999999998,data/all_twse/1727_2025-06-02_2026-06-02.csv,
TWSE,1727,中華化,2026-06-08,群聯策略,主升段回測月線,4,4/5,月線仍在季線之上、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、紅K收在當日相對高位,0.62,12.42,27.35,92.8,8828053,94.13999999999997,96.49000000000001,89.59,69.39499999999998,data/all_twse/1727_2025-06-02_2026-06-02.csv,
TWSE,2025,千興,2026-06-08,台積電策略,均線糾結後帶量紅K,3,3/5,短中期均線維持多頭排列、季線站在半年線之上、收盤仍在月線上方、紅K收在當日相對高位、爆量至20日均量4.6x，需留意追高,4.61,5.34,0.29,14.7,3562868,12.80000000000002,12.509999999999994,12.182500000000001,11.664166666666658,data/all_twse/2025_2025-06-02_2026-06-02.csv,
TWSE,2025,千興,2026-06-08,群聯策略,均線糾結後帶量紅K,3,3/5,短中期均線維持多頭排列、季線站在半年線之上、收盤仍在月線上方、紅K收在當日相對高位、爆量至20日均量4.6x，需留意追高,4.61,5.34,0.29,14.7,3562868,12.80000000000002,12.509999999999994,12.182500000000001,11.664166666666658,data/all_twse/2025_2025-06-02_2026-06-02.csv,
TWSE,2241,艾姆勒,2026-06-08,台積電策略,均線糾結後帶量紅K,5,5/5,月線仍在季線之上、月線與季線同步上揚、回測月線後收盤守住、紅K收在當日相對高位、量能健康放大至20日均量2.6x,2.63,8.23,5.4,38.9,9187112,35.17000000000002,36.32999999999999,34.802499999999995,31.414166666666674,data/all_twse/2241_2025-06-02_2026-06-02.csv,
TWSE,2241,艾姆勒,2026-06-08,群聯策略,均線糾結後帶量紅K,5,5/5,月線仍在季線之上、月線與季線同步上揚、回測月線後收盤守住、紅K收在當日相對高位、量能健康放大至20日均量2.6x,2.63,8.23,5.4,38.9,9187112,35.17000000000002,36.32999999999999,34.802499999999995,31.414166666666674,data/all_twse/2241_2025-06-02_2026-06-02.csv,
TWSE,2303,聯電,2026-06-08,台積電策略,主升段回測月線,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、低點貼近月線，回測位置乾淨,1.04,29.09,29.08,121.0,318679993,136.9,133.95,119.73500000000001,84.07333333333334,data/all_twse/2303_2025-06-02_2026-06-02.csv,
TWSE,2303,聯電,2026-06-08,群聯策略,主升段回測月線,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、低點貼近月線，回測位置乾淨,1.04,29.09,29.08,121.0,318679993,136.9,133.95,119.73500000000001,84.07333333333334,data/all_twse/2303_2025-06-02_2026-06-02.csv,
TWSE,2316,楠梓電,2026-06-08,台積電策略,主升段回測月線,5,5/5,月線仍在季線之上、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、低點貼近月線，回測位置乾淨,0.57,20.15,16.8,166.5,5983314,165.79999999999993,165.90000000000006,149.52500000000012,121.61666666666669,data/all_twse/2316_2025-06-02_2026-06-02.csv,
TWSE,2316,楠梓電,2026-06-08,群聯策略,主升段回測月線,5,5/5,月線仍在季線之上、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、低點貼近月線，回測位置乾淨,0.57,20.15,16.8,166.5,5983314,165.79999999999993,165.90000000000006,149.52500000000012,121.61666666666669,data/all_twse/2316_2025-06-02_2026-06-02.csv,
