market,stock_no,stock_name,date,roc_date,volume_shares,turnover_twd,open,high,low,close,change,transactions
tpex,6425,易發,2025-06-02,114/06/02,239000,10747000,46.00,46.00,43.80,45.15,-0.75,190
tpex,6425,易發,2025-06-03,114/06/03,87000,3894000,45.50,45.50,44.30,44.30,-0.85,103
tpex,6425,易發,2025-06-04,114/06/04,237000,11064000,45.45,47.85,45.45,46.15,1.85,184
tpex,6425,易發,2025-06-05,114/06/05,73000,3330000,46.15,46.40,45.05,45.15,-1.00,196
tpex,6425,易發,2025-06-06,114/06/06,158000,7173000,45.15,46.55,44.40,45.60,0.45,153
tpex,6425,易發,2025-06-09,114/06/09,105000,4704000,45.70,45.90,44.40,44.45,-1.15,164
tpex,6425,易發,2025-06-10,114/06/10,205000,9325000,44.30,46.35,44.30,45.20,0.75,189
tpex,6425,易發,2025-06-11,114/06/11,170000,7768000,46.10,46.75,44.90,45.00,-0.20,270
tpex,6425,易發,2025-06-12,114/06/12,68000,3053000,45.00,46.00,44.65,45.00,0.00,65
tpex,6425,易發,2025-06-13,114/06/13,182000,8058000,45.75,45.75,43.75,44.20,-0.80,176
tpex,6425,易發,2025-06-16,114/06/16,138000,5900000,43.85,43.85,42.45,42.80,-1.40,171
tpex,6425,易發,2025-06-17,114/06/17,898000,41348000,43.05,47.05,43.05,45.65,2.85,1116
tpex,6425,易發,2025-06-18,114/06/18,293000,13201000,45.60,45.80,44.50,44.50,-1.15,380
tpex,6425,易發,2025-06-19,114/06/19,160000,6965000,44.50,44.50,43.30,43.35,-1.15,137
tpex,6425,易發,2025-06-20,114/06/20,187000,8107000,45.90,45.90,42.65,42.85,-0.50,168
tpex,6425,易發,2025-06-23,114/06/23,251000,10656000,42.95,43.35,41.60,43.35,0.50,175
tpex,6425,易發,2025-06-24,114/06/24,630000,28949000,45.20,47.30,43.90,45.60,2.25,1426
tpex,6425,易發,2025-06-25,114/06/25,1017000,47144000,44.90,47.00,44.90,46.55,1.95,538
tpex,6425,易發,2025-06-26,114/06/26,458000,21490000,46.60,47.75,45.90,46.10,-0.45,344
tpex,6425,易發,2025-06-27,114/06/27,187000,8576000,46.70,46.70,45.15,45.75,-0.35,162
