market,stock_no,stock_name,date,roc_date,volume_shares,turnover_twd,open,high,low,close,change,transactions
tpex,6752,叡揚,2025-06-02,114/06/02,195000,31514000,163.50,163.50,160.00,162.00,-1.50,246
tpex,6752,叡揚,2025-06-03,114/06/03,161000,26021000,165.00,165.00,160.00,160.00,-2.00,216
tpex,6752,叡揚,2025-06-04,114/06/04,181000,29079000,163.00,163.00,159.00,160.50,0.50,285
tpex,6752,叡揚,2025-06-05,114/06/05,235000,37045000,161.50,161.50,155.00,156.00,-4.50,515
tpex,6752,叡揚,2025-06-06,114/06/06,204000,31542000,156.00,158.00,153.50,154.50,-1.50,435
tpex,6752,叡揚,2025-06-09,114/06/09,259000,39317000,153.50,154.50,150.00,153.50,-1.00,330
tpex,6752,叡揚,2025-06-10,114/06/10,288000,43507000,156.50,156.50,150.00,150.00,-3.50,393
tpex,6752,叡揚,2025-06-11,114/06/11,198000,30288000,152.50,154.50,151.00,153.00,3.00,280
tpex,6752,叡揚,2025-06-12,114/06/12,398000,62176000,155.00,159.00,153.00,156.50,3.50,484
tpex,6752,叡揚,2025-06-13,114/06/13,611000,94076000,159.00,161.00,148.50,148.50,-8.00,1382
tpex,6752,叡揚,2025-06-16,114/06/16,134000,20002000,149.50,151.50,147.00,151.50,3.00,174
tpex,6752,叡揚,2025-06-17,114/06/17,306000,47399000,151.50,157.50,151.00,153.00,1.50,355
tpex,6752,叡揚,2025-06-18,114/06/18,110000,17024000,153.50,157.00,153.00,154.50,1.50,169
tpex,6752,叡揚,2025-06-19,114/06/19,193000,29028000,155.00,155.00,148.50,148.50,-6.00,250
tpex,6752,叡揚,2025-06-20,114/06/20,117000,17288000,148.50,150.00,146.00,148.50,0.00,178
tpex,6752,叡揚,2025-06-23,114/06/23,119000,17243000,147.00,147.00,143.00,144.50,-4.00,179
tpex,6752,叡揚,2025-06-24,114/06/24,144000,21374000,147.50,151.00,146.50,151.00,6.50,180
tpex,6752,叡揚,2025-06-25,114/06/25,114000,17201000,153.00,153.00,148.50,148.50,-2.50,137
tpex,6752,叡揚,2025-06-26,114/06/26,133000,20123000,151.50,152.50,150.50,152.00,3.50,182
tpex,6752,叡揚,2025-06-27,114/06/27,263000,40297000,154.00,155.50,150.50,150.50,-1.50,301
tpex,6752,叡揚,2025-06-30,114/06/30,86000,12828000,150.50,152.00,148.00,150.00,-0.50,105
tpex,6752,叡揚,2025-07-01,114/07/01,98000,14740000,152.00,152.00,148.00,148.00,-2.00,148
tpex,6752,叡揚,2025-07-02,114/07/02,140000,21270000,150.50,153.50,150.50,152.00,4.00,159
tpex,6752,叡揚,2025-07-03,114/07/03,82000,12515000,152.50,154.00,151.00,151.50,-0.50,117
tpex,6752,叡揚,2025-07-04,114/07/04,162000,24014000,152.50,153.00,146.00,146.50,-5.00,242
tpex,6752,叡揚,2025-07-07,114/07/07,52000,7529000,145.50,145.50,144.50,144.50,-2.00,98
