market,stock_no,stock_name,date,roc_date,volume_shares,turnover_twd,open,high,low,close,change,transactions
tpex,8477,創業家,2025-06-02,114/06/02,12000,156000,13.45,13.45,12.85,12.85,-0.15,13
tpex,8477,創業家,2025-06-03,114/06/03,19000,243000,13.00,13.00,12.65,12.95,0.10,17
tpex,8477,創業家,2025-06-04,114/06/04,11000,141000,12.90,12.95,12.75,12.90,-0.05,13
tpex,8477,創業家,2025-06-05,114/06/05,33000,421000,12.70,13.00,12.65,13.00,0.10,19
tpex,8477,創業家,2025-06-06,114/06/06,12000,156000,13.10,13.10,12.70,12.90,-0.10,11
tpex,8477,創業家,2025-06-09,114/06/09,31000,399000,13.20,13.20,12.65,12.95,0.05,23
tpex,8477,創業家,2025-06-10,114/06/10,37000,469000,12.70,12.85,12.60,12.60,-0.35,30
tpex,8477,創業家,2025-06-11,114/06/11,9000,114000,12.55,12.75,12.55,12.55,-0.05,11
tpex,8477,創業家,2025-06-12,114/06/12,41000,508000,12.50,12.80,12.05,12.80,0.25,36
tpex,8477,創業家,2025-06-13,114/06/13,9000,107000,12.80,12.80,12.30,12.70,-0.10,13
tpex,8477,創業家,2025-06-16,114/06/16,3000,38000,12.70,12.70,12.70,12.70,0.00,3
tpex,8477,創業家,2025-06-17,114/06/17,2000,26000,12.65,12.65,12.65,12.65,-0.05,4
tpex,8477,創業家,2025-06-18,114/06/18,51000,630000,12.65,12.65,12.20,12.55,-0.10,23
tpex,8477,創業家,2025-06-19,114/06/19,3000,38000,12.65,12.65,12.50,12.50,-0.05,4
tpex,8477,創業家,2025-06-20,114/06/20,24000,293000,12.20,12.55,12.05,12.50,0.00,13
tpex,8477,創業家,2025-06-23,114/06/23,6000,69000,12.50,12.55,12.20,12.55,0.05,10
tpex,8477,創業家,2025-06-24,114/06/24,7000,86000,12.45,12.45,12.20,12.40,-0.15,9
tpex,8477,創業家,2025-06-25,114/06/25,29000,353000,12.30,12.30,12.05,12.05,-0.35,15
tpex,8477,創業家,2025-06-26,114/06/26,54000,638000,12.20,12.20,11.65,11.90,-0.15,95
tpex,8477,創業家,2025-06-27,114/06/27,3000,35000,11.75,11.90,11.70,11.90,0.00,8
tpex,8477,創業家,2025-06-30,114/06/30,13000,155000,11.80,11.90,11.60,11.90,0.00,12
tpex,8477,創業家,2025-07-01,114/07/01,5000,55000,11.90,11.95,11.90,11.95,0.05,8
tpex,8477,創業家,2025-07-02,114/07/02,1000,12000,11.95,11.95,11.95,11.95,0.00,3
tpex,8477,創業家,2025-07-03,114/07/03,2000,25000,12.10,12.10,12.00,12.00,0.05,7
tpex,8477,創業家,2025-07-04,114/07/04,28000,330000,11.95,11.95,11.60,11.70,-0.30,21
tpex,8477,創業家,2025-07-07,114/07/07,6000,71000,11.95,11.95,11.70,11.80,0.10,12
tpex,8477,創業家,2025-07-08,114/07/08,9000,106000,11.65,11.80,11.60,11.80,0.00,8
tpex,8477,創業家,2025-07-09,114/07/09,19000,228000,11.65,12.70,11.65,12.20,0.40,17
tpex,8477,創業家,2025-07-10,114/07/10,44000,515000,11.80,11.90,11.55,11.85,-0.35,36
tpex,8477,創業家,2025-07-11,114/07/11,27000,319000,11.80,12.20,11.60,12.10,0.25,24
tpex,8477,創業家,2025-07-14,114/07/14,22000,258000,11.75,12.25,11.60,12.15,0.05,26
tpex,8477,創業家,2025-07-15,114/07/15,61000,746000,12.10,12.45,12.10,12.40,0.25,47
tpex,8477,創業家,2025-07-16,114/07/16,21000,257000,12.40,12.45,11.90,12.45,0.05,16
tpex,8477,創業家,2025-07-17,114/07/17,40000,509000,12.50,12.90,12.50,12.90,0.45,31
tpex,8477,創業家,2025-07-18,114/07/18,40000,518000,13.00,13.00,12.75,12.90,0.00,37
tpex,8477,創業家,2025-07-21,114/07/21,19000,243000,13.00,13.15,12.95,12.95,0.05,24
tpex,8477,創業家,2025-07-22,114/07/22,12000,154000,12.95,12.95,12.70,12.70,-0.25,14
tpex,8477,創業家,2025-07-23,114/07/23,11000,146000,12.95,13.00,12.75,12.90,0.20,20
tpex,8477,創業家,2025-07-24,114/07/24,9000,114000,12.75,12.80,12.50,12.80,-0.10,13
tpex,8477,創業家,2025-07-25,114/07/25,39000,499000,12.70,12.80,12.30,12.70,-0.10,28
tpex,8477,創業家,2025-07-28,114/07/28,35000,435000,12.45,12.45,12.10,12.10,-0.60,37
tpex,8477,創業家,2025-07-29,114/07/29,2000,24000,12.10,12.10,12.10,12.10,0.00,5
tpex,8477,創業家,2025-07-30,114/07/30,5000,62000,12.10,12.30,12.10,12.30,0.20,7
tpex,8477,創業家,2025-07-31,114/07/31,1000,13000,12.35,12.35,12.35,12.35,0.05,3
tpex,8477,創業家,2025-08-01,114/08/01,18000,218000,11.95,12.35,11.75,12.35,0.00,24
tpex,8477,創業家,2025-08-04,114/08/04,11000,134000,12.35,12.45,12.30,12.45,0.10,26
tpex,8477,創業家,2025-08-05,114/08/05,3000,38000,12.50,12.50,12.45,12.45,0.00,8
tpex,8477,創業家,2025-08-06,114/08/06,5000,62000,12.40,12.40,12.10,12.40,-0.05,6
tpex,8477,創業家,2025-08-07,114/08/07,2000,25000,12.40,12.40,12.35,12.35,-0.05,7
tpex,8477,創業家,2025-08-08,114/08/08,9000,110000,12.15,12.40,12.10,12.40,0.05,14
tpex,8477,創業家,2025-08-11,114/08/11,8000,101000,11.90,12.45,11.85,12.40,0.00,14
tpex,8477,創業家,2025-08-12,114/08/12,18000,230000,12.45,12.50,12.45,12.50,0.10,20
tpex,8477,創業家,2025-08-13,114/08/13,24000,301000,12.10,12.80,12.10,12.60,0.10,24
tpex,8477,創業家,2025-08-14,114/08/14,17000,212000,12.50,12.60,12.30,12.50,-0.10,16
tpex,8477,創業家,2025-08-15,114/08/15,21000,264000,12.20,12.70,12.10,12.70,0.20,23
tpex,8477,創業家,2025-08-18,114/08/18,63000,803000,12.60,13.00,12.30,12.85,0.15,38
tpex,8477,創業家,2025-08-19,114/08/19,38000,494000,13.15,13.25,13.00,13.15,0.30,42
tpex,8477,創業家,2025-08-20,114/08/20,39000,499000,13.00,13.15,12.80,13.15,0.00,28
tpex,8477,創業家,2025-08-21,114/08/21,24000,317000,13.10,13.20,13.00,13.10,-0.05,24
tpex,8477,創業家,2025-08-22,114/08/22,2000,26000,13.10,13.10,13.10,13.10,0.00,2
tpex,8477,創業家,2025-08-25,114/08/25,34000,442000,13.15,13.25,13.10,13.15,0.05,28
tpex,8477,創業家,2025-08-26,114/08/26,11000,143000,13.25,13.60,13.15,13.25,0.10,20
tpex,8477,創業家,2025-08-27,114/08/27,23000,303000,13.25,13.25,13.05,13.05,-0.20,15
tpex,8477,創業家,2025-08-28,114/08/28,23000,302000,13.05,13.30,13.00,13.20,0.15,18
tpex,8477,創業家,2025-08-29,114/08/29,3000,43000,13.05,13.20,13.05,13.20,0.00,7
tpex,8477,創業家,2025-09-01,114/09/01,17000,231000,13.35,13.45,13.05,13.25,0.05,19
tpex,8477,創業家,2025-09-02,114/09/02,10000,130000,13.05,13.25,13.00,13.25,0.00,9
tpex,8477,創業家,2025-09-03,114/09/03,19000,255000,13.70,13.70,12.90,13.30,0.05,28
tpex,8477,創業家,2025-09-04,114/09/04,17000,220000,13.15,13.15,12.80,13.00,-0.30,13
tpex,8477,創業家,2025-09-05,114/09/05,10000,129000,13.00,13.00,12.80,12.85,-0.15,15
tpex,8477,創業家,2025-09-08,114/09/08,12000,153000,13.00,13.00,12.90,13.00,0.15,16
tpex,8477,創業家,2025-09-09,114/09/09,1000,14000,13.05,13.05,13.05,13.05,0.05,3
tpex,8477,創業家,2025-09-10,114/09/10,13000,165000,12.65,12.90,12.55,12.85,-0.20,11
tpex,8477,創業家,2025-09-11,114/09/11,13000,168000,12.80,12.80,12.55,12.80,-0.05,14
tpex,8477,創業家,2025-09-12,114/09/12,42000,534000,12.95,13.00,12.30,12.75,-0.05,32
tpex,8477,創業家,2025-09-15,114/09/15,79000,988000,12.40,12.70,12.40,12.70,-0.05,18
tpex,8477,創業家,2025-09-16,114/09/16,10000,126000,12.70,12.80,12.45,12.50,-0.20,11
tpex,8477,創業家,2025-09-17,114/09/17,8000,102000,12.60,12.60,12.20,12.55,0.05,12
tpex,8477,創業家,2025-09-18,114/09/18,4000,55000,12.50,12.60,12.50,12.60,0.05,13
tpex,8477,創業家,2025-09-19,114/09/19,10000,120000,12.75,12.75,12.50,12.70,0.10,16
tpex,8477,創業家,2025-09-22,114/09/22,3000,38000,12.50,12.65,12.50,12.65,-0.05,4
tpex,8477,創業家,2025-09-23,114/09/23,10000,126000,12.65,12.65,12.35,12.65,0.00,12
tpex,8477,創業家,2025-09-24,114/09/24,5000,64000,12.65,12.65,12.65,12.65,0.00,5
tpex,8477,創業家,2025-09-25,114/09/25,25000,309000,12.30,12.45,12.25,12.45,-0.20,18
tpex,8477,創業家,2025-09-26,114/09/26,12000,148000,12.30,12.60,12.30,12.45,0.00,11
tpex,8477,創業家,2025-09-30,114/09/30,59000,751000,12.80,13.00,12.55,12.60,0.15,40
tpex,8477,創業家,2025-10-01,114/10/01,4000,50000,12.65,12.65,12.40,12.65,0.05,4
tpex,8477,創業家,2025-10-02,114/10/02,20000,251000,12.45,13.00,12.40,12.80,0.15,18
tpex,8477,創業家,2025-10-03,114/10/03,10000,126000,12.45,12.75,12.40,12.75,-0.05,6
tpex,8477,創業家,2025-10-07,114/10/07,0,0,--,--,--,--,0.00,3
tpex,8477,創業家,2025-10-08,114/10/08,1000,13000,12.75,12.75,12.75,12.75,0.05,3
tpex,8477,創業家,2025-10-09,114/10/09,5000,64000,12.75,12.80,12.75,12.75,0.00,6
tpex,8477,創業家,2025-10-13,114/10/13,44000,539000,12.35,12.55,12.30,12.55,-0.20,36
tpex,8477,創業家,2025-10-14,114/10/14,19000,238000,12.80,12.80,12.20,12.20,-0.35,18
tpex,8477,創業家,2025-10-15,114/10/15,4000,49000,12.25,12.55,12.25,12.55,0.35,4
tpex,8477,創業家,2025-10-16,114/10/16,27000,331000,12.30,12.55,12.25,12.40,-0.15,32
tpex,8477,創業家,2025-10-17,114/10/17,14000,173000,12.25,12.35,12.15,12.35,-0.05,14
tpex,8477,創業家,2025-10-20,114/10/20,54000,652000,12.20,12.40,11.90,11.90,-0.45,40
tpex,8477,創業家,2025-10-21,114/10/21,15000,179000,12.10,12.10,11.90,12.10,0.20,15
tpex,8477,創業家,2025-10-22,114/10/22,18000,216000,12.15,12.15,11.95,11.95,-0.15,11
tpex,8477,創業家,2025-10-23,114/10/23,56000,665000,11.95,11.95,11.75,11.75,-0.20,32
tpex,8477,創業家,2025-10-27,114/10/27,34000,400000,11.70,11.75,11.60,11.65,-0.10,28
tpex,8477,創業家,2025-10-28,114/10/28,16000,189000,11.75,11.95,11.70,11.90,0.25,13
tpex,8477,創業家,2025-10-29,114/10/29,3000,36000,11.70,11.70,11.70,11.70,-0.20,5
tpex,8477,創業家,2025-10-30,114/10/30,18000,212000,11.70,11.85,11.60,11.70,0.00,14
tpex,8477,創業家,2025-10-31,114/10/31,8000,94000,11.70,11.70,11.65,11.70,0.00,7
tpex,8477,創業家,2025-11-03,114/11/03,6000,70000,11.70,11.80,11.70,11.70,0.00,7
