market,stock_no,stock_name,date,roc_date,volume_shares,turnover_twd,open,high,low,close,change,transactions
tpex,3581,博磊,2025-06-02,114/06/02,85000,2555000,30.55,30.55,29.70,30.00,-1.20,81
tpex,3581,博磊,2025-06-03,114/06/03,99000,2946000,29.85,30.60,29.50,29.70,-0.30,82
tpex,3581,博磊,2025-06-04,114/06/04,1187000,37626000,30.70,32.65,30.55,30.75,1.05,904
tpex,3581,博磊,2025-06-05,114/06/05,257000,8012000,30.75,31.95,30.60,30.75,0.00,261
tpex,3581,博磊,2025-06-06,114/06/06,64000,1943000,31.10,31.10,30.35,30.40,-0.35,59
tpex,3581,博磊,2025-06-09,114/06/09,165000,5006000,30.55,30.95,29.80,30.45,0.05,104
tpex,3581,博磊,2025-06-10,114/06/10,600000,19699000,30.95,33.45,30.95,33.45,3.00,637
tpex,3581,博磊,2025-06-11,114/06/11,1207000,41343000,33.45,36.00,33.45,33.55,0.10,1037
tpex,3581,博磊,2025-06-12,114/06/12,583000,20198000,33.55,35.35,33.15,34.65,1.10,465
tpex,3581,博磊,2025-06-13,114/06/13,419000,14423000,35.30,36.00,33.75,33.75,-0.90,438
tpex,3581,博磊,2025-06-16,114/06/16,156000,5171000,33.25,33.40,32.90,33.35,-0.40,146
tpex,3581,博磊,2025-06-17,114/06/17,120000,4035000,33.25,34.15,32.90,32.90,-0.45,112
tpex,3581,博磊,2025-06-18,114/06/18,69000,2256000,32.80,33.30,32.55,32.75,-0.15,68
tpex,3581,博磊,2025-06-19,114/06/19,65000,2064000,32.80,32.80,31.50,31.50,-1.25,92
tpex,3581,博磊,2025-06-20,114/06/20,58000,1817000,31.60,31.60,30.65,31.15,-0.35,61
tpex,3581,博磊,2025-06-23,114/06/23,107000,3294000,30.05,31.30,30.05,30.85,-0.30,70
tpex,3581,博磊,2025-06-24,114/06/24,91000,2915000,31.10,32.20,31.10,31.75,0.90,90
tpex,3581,博磊,2025-06-25,114/06/25,257000,8484000,32.15,33.85,31.85,32.60,0.85,208
tpex,3581,博磊,2025-06-26,114/06/26,185000,6217000,32.75,34.35,32.65,33.25,0.65,161
tpex,3581,博磊,2025-06-27,114/06/27,147000,4947000,34.10,34.10,33.35,34.05,0.80,153
tpex,3581,博磊,2025-06-30,114/06/30,75000,2474000,33.70,33.70,32.55,33.00,-1.05,95
tpex,3581,博磊,2025-07-01,114/07/01,44000,1463000,34.00,34.00,32.60,32.60,-0.40,88
tpex,3581,博磊,2025-07-02,114/07/02,44000,1409000,32.10,32.45,32.10,32.25,-0.35,61
tpex,3581,博磊,2025-07-03,114/07/03,534000,18260000,32.00,35.45,31.75,35.45,3.20,310
tpex,3581,博磊,2025-07-04,114/07/04,1277000,44377000,37.00,37.90,32.40,32.40,-3.05,971
